Genome,Length
BUMA.0521.00010.2,1858539
BUMA.0521.00011.2,2284051
BUMA.0521.00012.1,3533282
BUMA.0521.00008.2,2093334
BUMA.0521.00009.2,2185904
BUMA.0521.00009.1,3512356
BUMA.0521.00010.1,3550623
BUMA.0521.00014.2,2120306
BUMA.0521.00015.1,3623703
BUMA.0521.00013.1,3553890
BUMA.0521.00014.1,3471563
BUMA.0521.00003.2,2152800
BUMA.0521.00001.2,2325354
BUMA.0521.00002.1,3553363
BUMA.0521.00004.1,3542936
BUMA.0521.00002.2,2321567
BUMA.0521.00006.2,2125970
BUMA.0521.00007.1,3501019
BUMA.0521.00004.2,2237503
BUMA.0521.00013.2,2226175
BUMA.0521.00005.1,3559874
BUMA.0521.00020.2,2104778
BUMA.0521.00021.2,2240464
BUMA.0521.00027.2,2120272
BUMA.0521.00024.1,3045954
BUMA.0521.00015.2,2105279
BUMA.0521.00030.1,3497450
BUMA.0521.00008.1,3531732
BUMA.0521.00016.2,2120565
BUMA.0521.00027.1,3517959
BUMA.0521.00022.1,3578566
BUMA.0521.00031.2,2325379
BUMA.0521.00023.2,2120572
BUMA.0521.00005.2,2353260
BUMA.0521.00017.2,2352693
BUMA.0521.00007.2,2146721
BUMA.0521.00020.1,3558404
BUMA.0521.00021.1,3507358
BUMA.0521.00017.1,3495687
BUMA.0521.00023.1,3573819
BUMA.0521.00032.2,2351417
BUMA.0521.00001.1,3510187
BUMA.0521.00019.2,2106749
BUMA.0521.00024.2,2728358
BUMA.0521.00019.1,3625848
BUMA.0521.00016.1,3471484
BUMA.0521.00026.2,1726745
BUMA.0521.00018.2,2325357
BUMA.0521.00012.2,2096906
BUMA.0521.00025.1,3510032
BUMA.0521.00030.2,1734922
BUMA.0521.00031.1,3510148
BUMA.0521.00029.2,2325322
BUMA.0521.00006.1,3558861
BUMA.0521.00029.1,3539287
BUMA.0521.00018.1,3510109
BUMA.0521.00022.2,2146721
BUMA.0521.00032.1,3476186
BUMA.0521.00026.1,3506682
BUMA.0521.00003.1,3509051
BUMA.0521.00028.1,3497571
BUMA.0521.00011.1,3458247
BUMA.0521.00025.2,2226558
BUMA.0521.00028.2,1734864
