id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,50h–51t,19371,0.0004101621,2,5,0.0056268102,9,False
2,41h–56h,19453,0.00039364750000000007,1,2,0.0140554882,10,False
3,82h–98t,7107,0.0003257573,1,2,0.0064634742,7,False
4,145h–146t,8369,0.0003257573,1,2,0.0032268786,4,False
5,196h–197t,1967,0.0002468961,1,2,0.003636888,4,False
6,197h–198t,719,0.0002468961,1,2,0.0002468961,2,False
7,47h–48t,1932,0.000226809,1,2,0.0040581,7,False
8,20t–36h,5733,0.0002197602,1,2,0.0007841144000000001,3,False
9,184h–185t,15145,0.00020458099999999998,1,2,0.004443683400000001,5,False
10,192h–193t,2890,0.00020458099999999998,1,2,0.0014577674,3,False
11,95h–96t,16186,3.47504e-05,1,2,0.0044645866000000015,6,False
12,91h–92t,736,3.47504e-05,1,2,0.00010991060000000001,3,False
13,107h–108t,10721,0,0,0,0.009976629699999996,8,False
14,168h–174t,76664,0,0,0,0.008434005599999999,7,False
15,25h–74h,8600,0,0,0,0.007372524600000001,7,False
16,205h–206t,7412,0,0,0,0.007163450199999999,6,False
17,1h–2t,1951,0,0,0,0.007100359200000001,6,False
18,202h–203t,5614,0,0,0,0.0068880324999999985,8,False
19,139h–140t,2565,0,0,0,0.006875487199999999,7,False
20,223h–224t,6171,0,0,0,0.006545705200000001,7,False
21,22t–81t,1443,0,0,0,0.005654755299999998,8,False
22,119t–97h,2081,0,0,0,0.0054037684,7,False
23,54h–56t,15680,0,0,0,0.005052137999999999,6,False
24,212h–213t,7199,0,0,0,0.0038783530999999998,6,False
25,151h–237h,4871,0,0,0,0.003849762400000001,6,False
26,255h–257t,19166,0,0,0,0.0036044434000000003,5,False
27,148h–260h,2245,0,0,0,0.0035173652,5,False
28,152t–238t,8436,0,0,0,0.0029504470000000006,5,False
29,43h–44t,5845,0,0,0,0.0027824472000000005,6,False
30,158h–159t,1202,0,0,0,0.0025757446000000002,4,False
31,26h–27t,1558,0,0,0,0.0024846614,4,False
32,18h–19t,5011,0,0,0,0.0024523640000000003,4,False
33,159h–160t,6634,0,0,0,0.00195405,6,False
34,216h–217t,1632,0,0,0,0.0019256638,4,False
35,244h–245t,8954,0,0,0,0.0019056458000000004,5,False
36,26t–38h,17007,0,0,0,0.0018229896000000003,4,False
37,236h–237t,9942,0,0,0,0.0015920208,3,False
38,149t–261t,2287,0,0,0,0.0014781167,4,False
39,208h–210t,11643,0,0,0,0.001477118,3,False
40,218h–219t,4093,0,0,0,0.0013213038,3,False
41,134h–135t,16253,0,0,0,0.001301072,3,False
42,232h–233t,5128,0,0,0,0.0012470598,3,False
43,224h–225t,6093,0,0,0,0.0010604736,3,False
44,12h–13t,858,0,0,0,0.0007497533,2,False
45,13h–14t,7168,0,0,0,0.0007367449,2,False
46,93h–94t,8881,0,0,0,0.0006542768,2,False
47,136h–137t,3044,0,0,0,0.0006356606000000001,3,False
