gembase_name	orig_name	to_annotate	gsize	nb_conts	L90
BUMA.1121.00001	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001885195.1_ASM188519v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001885195.1_ASM188519v1_genomic.fna_prepare-split125N.fna	7281208	2	2
BUMA.1121.00002	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000755865.1_ASM75586v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000755865.1_ASM75586v1_genomic.fna_prepare-split125N.fna	5625292	2	2
BUMA.1121.00003	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000959305.1_ASM95930v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000959305.1_ASM95930v1_genomic.fna_prepare-split125N.fna	7042714	2	2
BUMA.1121.00004	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346005.1_ASM234600v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346005.1_ASM234600v1_genomic.fna_prepare-split125N.fna	5728982	2	2
BUMA.1121.00005	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001695735.1_ASM169573v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001695735.1_ASM169573v1_genomic.fna_prepare-split125N.fna	7313636	2	2
BUMA.1121.00006	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346045.1_ASM234604v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346045.1_ASM234604v1_genomic.fna_prepare-split125N.fna	5835466	2	2
BUMA.1121.00007	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001887555.1_ASM188755v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001887555.1_ASM188755v1_genomic.fna_prepare-split125N.fna	7290949	2	2
BUMA.1121.00008	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346065.1_ASM234606v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346065.1_ASM234606v1_genomic.fna_prepare-split125N.fna	5663182	2	2
BUMA.1121.00009	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001975065.1_ASM197506v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001975065.1_ASM197506v1_genomic.fna_prepare-split125N.fna	7248498	2	2
BUMA.1121.00010	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000755885.1_ASM75588v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000755885.1_ASM75588v1_genomic.fna_prepare-split125N.fna	5630231	2	2
BUMA.1121.00011	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001975105.1_ASM197510v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_001975105.1_ASM197510v1_genomic.fna_prepare-split125N.fna	7317380	2	2
BUMA.1121.00012	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002110945.1_ASM211094v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002110945.1_ASM211094v1_genomic.fna_prepare-split125N.fna	7482386	2	2
BUMA.1121.00013	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000959465.1_ASM95946v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000959465.1_ASM95946v1_genomic.fna_prepare-split125N.fna	5686446	2	2
BUMA.1121.00014	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002110965.1_ASM211096v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002110965.1_ASM211096v1_genomic.fna_prepare-split125N.fna	7498324	2	2
BUMA.1121.00015	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000959625.1_ASM95962v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000959625.1_ASM95962v1_genomic.fna_prepare-split125N.fna	5780439	2	2
BUMA.1121.00016	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002111045.1_ASM211104v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002111045.1_ASM211104v1_genomic.fna_prepare-split125N.fna	7319687	2	2
BUMA.1121.00017	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346025.1_ASM234602v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346025.1_ASM234602v1_genomic.fna_prepare-split125N.fna	5592049	2	2
BUMA.1121.00018	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002111105.1_ASM211110v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002111105.1_ASM211110v1_genomic.fna_prepare-split125N.fna	7234496	2	2
BUMA.1121.00019	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346105.1_ASM234610v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346105.1_ASM234610v1_genomic.fna_prepare-split125N.fna	5698260	2	2
BUMA.1121.00020	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346085.1_ASM234608v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346085.1_ASM234608v1_genomic.fna_prepare-split125N.fna	5732597	2	2
BUMA.1121.00021	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002111145.1_ASM211114v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002111145.1_ASM211114v1_genomic.fna_prepare-split125N.fna	7186084	2	2
BUMA.1121.00022	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000959405.1_ASM95940v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_000959405.1_ASM95940v1_genomic.fna_prepare-split125N.fna	5913134	2	2
BUMA.1121.00023	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002111165.1_ASM211116v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002111165.1_ASM211116v1_genomic.fna_prepare-split125N.fna	7344971	2	2
BUMA.1121.00024	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346125.1_ASM234612v1_genomic.fna_prepare-split125N.fna	Burkholderia_pseudo_mallei/1-prepare_module/tmp_files/GCF_002346125.1_ASM234612v1_genomic.fna_prepare-split125N.fna	5747822	2	2
