Seq_id	Size	Description
1	1858539	BUMA.0521.00010.2
2	2284051	BUMA.0521.00011.2
3	3533282	BUMA.0521.00012.1
4	2093334	BUMA.0521.00008.2
5	2185904	BUMA.0521.00009.2
6	3512356	BUMA.0521.00009.1
7	3550623	BUMA.0521.00010.1
8	2120306	BUMA.0521.00014.2
9	3623703	BUMA.0521.00015.1
10	3553890	BUMA.0521.00013.1
11	3471563	BUMA.0521.00014.1
12	2152800	BUMA.0521.00003.2
13	2325354	BUMA.0521.00001.2
14	3553363	BUMA.0521.00002.1
15	3542936	BUMA.0521.00004.1
16	2321567	BUMA.0521.00002.2
17	2125970	BUMA.0521.00006.2
18	3501019	BUMA.0521.00007.1
19	2237503	BUMA.0521.00004.2
20	2226175	BUMA.0521.00013.2
21	3559874	BUMA.0521.00005.1
22	2104778	BUMA.0521.00020.2
23	2240464	BUMA.0521.00021.2
24	2120272	BUMA.0521.00027.2
25	3045954	BUMA.0521.00024.1
26	2105279	BUMA.0521.00015.2
27	3497450	BUMA.0521.00030.1
28	3531732	BUMA.0521.00008.1
29	2120565	BUMA.0521.00016.2
30	3517959	BUMA.0521.00027.1
31	3578566	BUMA.0521.00022.1
32	2325379	BUMA.0521.00031.2
33	2120572	BUMA.0521.00023.2
34	2353260	BUMA.0521.00005.2
35	2352693	BUMA.0521.00017.2
36	2146721	BUMA.0521.00007.2
37	3558404	BUMA.0521.00020.1
38	3507358	BUMA.0521.00021.1
39	3495687	BUMA.0521.00017.1
40	3573819	BUMA.0521.00023.1
41	2351417	BUMA.0521.00032.2
42	3510187	BUMA.0521.00001.1
43	2106749	BUMA.0521.00019.2
44	2728358	BUMA.0521.00024.2
45	3625848	BUMA.0521.00019.1
46	3471484	BUMA.0521.00016.1
47	1726745	BUMA.0521.00026.2
48	2325357	BUMA.0521.00018.2
49	2096906	BUMA.0521.00012.2
50	3510032	BUMA.0521.00025.1
51	1734922	BUMA.0521.00030.2
52	3510148	BUMA.0521.00031.1
53	2325322	BUMA.0521.00029.2
54	3558861	BUMA.0521.00006.1
55	3539287	BUMA.0521.00029.1
56	3510109	BUMA.0521.00018.1
57	2146721	BUMA.0521.00022.2
58	3476186	BUMA.0521.00032.1
59	3506682	BUMA.0521.00026.1
60	3509051	BUMA.0521.00003.1
61	3497571	BUMA.0521.00028.1
62	3458247	BUMA.0521.00011.1
63	2226558	BUMA.0521.00025.2
64	1734864	BUMA.0521.00028.2
--------------------------------------------------------------------------------
Block #220
Seq_id	Strand	Start	End	Length
7	+	3149738	3182167	32429
18	+	1724488	1756949	32461
--------------------------------------------------------------------------------
Block #219
Seq_id	Strand	Start	End	Length
7	+	2506173	2518478	12305
9	-	2871121	2858809	12312
10	-	2880378	2868067	12311
11	-	2806306	2793994	12312
14	+	461923	474206	12283
15	-	2779783	2767448	12335
21	-	3288297	3276015	12282
25	-	2375257	2362945	12312
27	+	955388	967731	12343
30	-	2136741	2124429	12312
31	-	2871203	2858891	12312
37	-	2882894	2870582	12312
38	-	2869880	2857568	12312
39	-	1557545	1545261	12284
40	-	2908643	2896331	12312
42	+	2904430	2916735	12305
45	-	2936100	2923788	12312
46	-	2806236	2793924	12312
50	+	3111746	3124051	12305
52	+	3111938	3124243	12305
54	+	1559329	1571662	12333
55	-	1031359	1019054	12305
56	+	3111823	3124128	12305
58	+	1759333	1771618	12285
59	-	938288	925976	12312
60	-	2289785	2277503	12282
61	+	1358498	1370841	12343
62	+	1241445	1253727	12282
--------------------------------------------------------------------------------
Block #218
Seq_id	Strand	Start	End	Length
6	+	2998801	3009537	10736
9	+	3127709	3138444	10735
10	+	3059486	3070224	10738
11	+	2982604	2993340	10736
14	+	650590	661356	10766
15	-	2591126	2580375	10751
18	+	1255246	1266031	10785
21	+	3465809	3476545	10736
25	+	2551473	2562209	10736
30	+	2313039	2323775	10736
31	+	3047468	3058204	10736
37	+	3059074	3069810	10736
38	+	2976261	2986997	10736
39	+	1733869	1744599	10730
40	+	3084869	3095605	10736
42	-	403928	393143	10785
45	+	3112281	3123017	10736
46	+	2982534	2993270	10736
50	-	611403	600633	10770
52	-	611472	600702	10770
54	-	3121480	3110723	10757
55	+	21664	32433	10769
56	-	611402	600632	10770
58	-	1583001	1572270	10731
60	-	2101108	2090342	10766
62	-	1065132	1054380	10752
--------------------------------------------------------------------------------
Block #217
Seq_id	Strand	Start	End	Length
4	+	454081	465906	11825
5	-	120505	108824	11681
8	+	2001259	2013003	11744
12	+	1011826	1023805	11979
13	-	855729	843879	11850
16	-	101769	89787	11982
17	-	546865	535007	11858
19	-	368521	356707	11814
20	+	2185522	2197391	11869
22	-	120512	108838	11674
23	-	120568	108831	11737
24	-	171672	159942	11730
26	-	120516	108832	11684
29	-	120506	108776	11730
32	-	116279	104429	11850
33	-	120520	108776	11744
34	-	1662547	1650690	11857
35	-	117403	105739	11664
41	+	485859	497523	11664
43	-	120525	108831	11694
44	-	755428	743670	11758
48	+	2207239	2219110	11871
49	+	1306039	1317792	11753
51	-	1280407	1268564	11843
53	+	2007352	2019202	11850
57	-	120575	108810	11765
63	+	2108454	2120304	11850
64	-	234066	222223	11843
--------------------------------------------------------------------------------
Block #216
Seq_id	Strand	Start	End	Length
4	+	404400	453907	49507
5	-	170151	120679	49472
8	+	1951614	2001085	49471
12	+	962213	1011652	49439
13	-	905322	855903	49419
16	-	151390	101943	49447
17	-	596494	547039	49455
19	-	418128	368695	49433
20	+	2135906	2185348	49442
22	-	170158	120686	49472
23	-	170214	120742	49472
24	-	221318	171846	49472
26	-	170162	120690	49472
29	-	170152	120680	49472
32	-	165872	116453	49419
33	-	170166	120694	49472
34	-	1712185	1662721	49464
35	-	167034	117577	49457
36	+	1567109	1616678	49569
41	+	436229	485685	49456
43	-	170171	120699	49472
44	-	805074	755602	49472
48	+	2157647	2207065	49418
49	+	1256398	1305865	49467
51	-	1330051	1280581	49470
53	+	1957760	2007178	49418
57	-	170221	120749	49472
63	+	2058862	2108280	49418
64	-	283710	234240	49470
--------------------------------------------------------------------------------
Block #215
Seq_id	Strand	Start	End	Length
3	+	3526037	3533282	7245
6	+	2409891	2417136	7245
7	+	3308334	3315579	7245
9	+	2444863	2452108	7245
10	-	1921194	1913949	7245
11	+	2380031	2387276	7245
14	+	155003	162248	7245
15	-	1611333	1604088	7245
18	+	1883096	1890341	7245
21	+	2861933	2869178	7245
25	+	1948965	1956210	7245
27	+	1851786	1859031	7245
28	+	16762	24007	7245
30	+	1710463	1717708	7245
31	+	2444941	2452186	7245
37	+	2456622	2463867	7245
38	+	2443622	2450867	7245
39	+	1131211	1138456	7245
40	+	2482350	2489595	7245
42	+	1226341	1233586	7245
45	+	2509828	2517073	7245
46	+	2379997	2387242	7245
50	+	1433828	1441073	7245
52	+	1433891	1441136	7245
54	+	2535038	2542283	7245
55	-	2709372	2702127	7245
56	+	1433811	1441056	7245
58	-	2185577	2178332	7245
59	+	511800	519045	7245
60	-	2596734	2589489	7245
61	+	2254840	2262085	7245
62	-	1668728	1661483	7245
--------------------------------------------------------------------------------
Block #214
Seq_id	Strand	Start	End	Length
3	+	3509261	3525984	16723
6	+	2393115	2409838	16723
7	+	3289967	3306689	16722
9	+	2428087	2444810	16723
10	-	1937980	1921225	16755
11	+	2363255	2379978	16723
14	+	138227	154950	16723
15	-	1628109	1611364	16745
18	+	1864732	1881455	16723
21	+	2845157	2861880	16723
25	+	1932189	1948912	16723
27	+	1835010	1851733	16723
28	+	1	16709	16708
30	+	1693687	1710410	16723
31	+	2428165	2444888	16723
37	+	2439846	2456569	16723
38	+	2426846	2443569	16723
39	+	1114435	1131158	16723
40	+	2465574	2482297	16723
42	+	1209565	1226288	16723
45	+	2493052	2509775	16723
46	+	2363221	2379944	16723
50	+	1417052	1433775	16723
52	+	1417113	1433838	16725
54	+	2518262	2534985	16723
55	-	2726148	2709403	16745
56	+	1417035	1433758	16723
58	-	2202353	2185608	16745
59	+	495024	511747	16723
60	-	2613510	2596765	16745
61	+	2238064	2254787	16723
62	-	1685504	1668759	16745
--------------------------------------------------------------------------------
Block #213
Seq_id	Strand	Start	End	Length
3	+	3442051	3508823	66772
6	+	2325758	2392677	66919
7	+	3222686	3289529	66843
9	+	2360742	2427649	66907
10	-	2005285	1938417	66868
11	+	2295926	2362817	66891
14	+	70917	137789	66872
15	-	1695366	1628546	66820
18	+	1797534	1864294	66760
21	+	2777840	2844719	66879
25	+	1864850	1931751	66901
27	+	1767773	1834572	66799
28	+	3464508	3531280	66772
30	+	1626349	1693249	66900
31	+	2360845	2427727	66882
37	+	2372516	2439408	66892
38	+	2359454	2426408	66954
39	+	1047102	1113997	66895
40	+	2398229	2465136	66907
42	+	1142358	1209127	66769
45	+	2425704	2492614	66910
46	+	2295864	2362783	66919
50	+	1349845	1416614	66769
52	+	1349906	1416675	66769
54	+	2451011	2517824	66813
55	-	2793355	2726585	66770
56	+	1349828	1416597	66769
58	-	2269683	2202790	66893
59	+	427707	494586	66879
60	-	2680815	2613947	66868
61	+	2170827	2237626	66799
62	-	1752793	1685941	66852
--------------------------------------------------------------------------------
Block #212
Seq_id	Strand	Start	End	Length
3	+	3412793	3439505	26712
6	+	2296466	2323196	26730
7	-	2862900	2836102	26798
9	+	2331443	2358180	26737
10	-	2034643	2007831	26812
11	+	2266635	2293364	26729
14	+	41604	68371	26767
15	-	1724699	1697912	26787
18	-	1437758	1410960	26798
21	+	2748529	2775278	26749
25	+	1835558	1862288	26730
27	+	1738490	1765227	26737
28	+	3435249	3461946	26697
30	+	1597057	1623787	26730
31	+	2331553	2358283	26730
37	+	2344545	2371275	26730
38	+	2330148	2356892	26744
39	+	1017816	1044556	26740
40	+	2368937	2395667	26730
