assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000834235.1	PRJNA224116	SAMN03074081			na		632	632	Yersinia pestis	strain=PBM19		latest	Complete Genome	Major	Full	2015/02/09	ASM83423v1	Los Alamos National Laboratory	GCA_000834235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/235/GCF_000834235.1_ASM83423v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_000834235.1/GCF_000834235.1_ASM83423v1_genomic.fna.gz
GCF_000834275.1	PRJNA224116	SAMN02769655			na		632	632	Yersinia pestis	strain=Harbin35		latest	Complete Genome	Major	Full	2015/02/09	ASM83427v1	Los Alamos National Laboratory	GCA_000834275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/275/GCF_000834275.1_ASM83427v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_000834275.1/GCF_000834275.1_ASM83427v1_genomic.fna.gz
GCF_000834335.1	PRJNA224116	SAMN03120838			na		632	632	Yersinia pestis	strain=Shasta		latest	Complete Genome	Major	Full	2015/02/09	ASM83433v1	Los Alamos National Laboratory	GCA_000834335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/335/GCF_000834335.1_ASM83433v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_000834335.1/GCF_000834335.1_ASM83433v1_genomic.fna.gz
GCF_000834495.1	PRJNA224116	SAMN03145064			na		632	632	Yersinia pestis	strain=El Dorado		latest	Complete Genome	Major	Full	2015/02/09	ASM83449v1	Los Alamos National Laboratory	GCA_000834495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/495/GCF_000834495.1_ASM83449v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_000834495.1/GCF_000834495.1_ASM83449v1_genomic.fna.gz
GCF_000834775.1	PRJNA224116	SAMN03161124			na		632	632	Yersinia pestis	strain=Dodson		latest	Complete Genome	Major	Full	2015/02/09	ASM83477v1	Los Alamos National Laboratory	GCA_000834775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/775/GCF_000834775.1_ASM83477v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_000834775.1/GCF_000834775.1_ASM83477v1_genomic.fna.gz
GCF_000834885.1	PRJNA224116	SAMN03216612			na		632	632	Yersinia pestis	strain=Nicholisk 41		latest	Complete Genome	Major	Full	2015/02/09	ASM83488v1	Los Alamos National Laboratory	GCA_000834885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/885/GCF_000834885.1_ASM83488v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_000834885.1/GCF_000834885.1_ASM83488v1_genomic.fna.gz
GCF_000834905.1	PRJNA224116	SAMN03216587			na		632	632	Yersinia pestis	strain=Java9		latest	Chromosome	Major	Full	2015/02/09	ASM83490v1	Los Alamos National Laboratory	GCA_000834905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/905/GCF_000834905.1_ASM83490v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_000834905.1/GCF_000834905.1_ASM83490v1_genomic.fna.gz
GCF_000835005.1	PRJNA224116	SAMN03256395			na		632	632	Yersinia pestis	strain=Nairobi		latest	Chromosome	Major	Full	2015/02/09	ASM83500v1	Los Alamos National Laboratory	GCA_000835005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/005/GCF_000835005.1_ASM83500v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_000835005.1/GCF_000835005.1_ASM83500v1_genomic.fna.gz
GCF_000970105.1	PRJNA224116	SAMN03160723			na		632	632	Yersinia pestis	strain=KIM5		latest	Chromosome	Major	Full	2015/04/07	ASM97010v1	Los Alamos National Laboratory	GCA_000970105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/105/GCF_000970105.1_ASM97010v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_000970105.1/GCF_000970105.1_ASM97010v1_genomic.fna.gz
GCF_001693595.1	PRJNA224116	SAMN05282282			na		632	632	Yersinia pestis	strain=Cadman		latest	Complete Genome	Major	Full	2016/07/26	ASM169359v1	USAMRIID	GCA_001693595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/595/GCF_001693595.1_ASM169359v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_001693595.1/GCF_001693595.1_ASM169359v1_genomic.fna.gz
GCF_003798205.1	PRJNA224116	SAMN10228583			na		632	632	Yersinia pestis	strain=FDAARGOS_603		latest	Complete Genome	Major	Full	2018/11/20	ASM379820v1	US Food and Drug Administration	GCA_003798205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/798/205/GCF_003798205.1_ASM379820v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_003798205.1/GCF_003798205.1_ASM379820v1_genomic.fna.gz
GCF_003798225.1	PRJNA224116	SAMN10228581			na		632	632	Yersinia pestis	strain=FDAARGOS_601		latest	Complete Genome	Major	Full	2018/11/20	ASM379822v1	US Food and Drug Administration	GCA_003798225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/798/225/GCF_003798225.1_ASM379822v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_003798225.1/GCF_003798225.1_ASM379822v1_genomic.fna.gz
GCF_003798345.1	PRJNA224116	SAMN10228582			na		632	632	Yersinia pestis	strain=FDAARGOS_602		latest	Complete Genome	Major	Full	2018/11/20	ASM379834v1	US Food and Drug Administration	GCA_003798345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/798/345/GCF_003798345.1_ASM379834v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_003798345.1/GCF_003798345.1_ASM379834v1_genomic.fna.gz
GCF_009295925.1	PRJNA224116	SAMN12991205			na		632	632	Yersinia pestis	strain=SCPM-O-B-6899 (231)		latest	Complete Genome	Major	Full	2019/10/24	ASM929592v1	SRCAMB	GCA_009295925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/295/925/GCF_009295925.1_ASM929592v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_009295925.1/GCF_009295925.1_ASM929592v1_genomic.fna.gz
GCF_009295945.1	PRJNA224116	SAMN12991206			na		632	632	Yersinia pestis	strain=SCPM-O-DNA-18 (I-3113)		latest	Complete Genome	Major	Full	2019/10/24	ASM929594v1	SRCAMB	GCA_009295945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/295/945/GCF_009295945.1_ASM929594v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_009295945.1/GCF_009295945.1_ASM929594v1_genomic.fna.gz
GCF_009295965.1	PRJNA224116	SAMN12991208			na		632	632	Yersinia pestis	strain=SCPM-O-B-5935 (I-1996)		latest	Complete Genome	Major	Full	2019/10/24	ASM929596v1	SRCAMB	GCA_009295965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/295/965/GCF_009295965.1_ASM929596v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_009295965.1/GCF_009295965.1_ASM929596v1_genomic.fna.gz
GCF_009296005.1	PRJNA224116	SAMN12991209			na		632	632	Yersinia pestis	strain=SCPM-O-B-6291 (C-25)		latest	Complete Genome	Major	Full	2019/10/24	ASM929600v1	SRCAMB	GCA_009296005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/296/005/GCF_009296005.1_ASM929600v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_009296005.1/GCF_009296005.1_ASM929600v1_genomic.fna.gz
GCF_009363195.1	PRJNA224116	SAMN12991207			na		632	632	Yersinia pestis	strain=SCPM-O-B-5942 (I-2638)		latest	Complete Genome	Major	Full	2019/10/27	ASM936319v1	SRCAMB	GCA_009363195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/363/195/GCF_009363195.1_ASM936319v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_009363195.1/GCF_009363195.1_ASM936319v1_genomic.fna.gz
GCF_015190655.1	PRJNA224116	SAMN13021983			na		632	632	Yersinia pestis	strain=S19960127		latest	Complete Genome	Major	Full	2020/11/02	ASM1519065v1	National institute for communicable disease control and prevention	GCA_015190655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/190/655/GCF_015190655.1_ASM1519065v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015190655.1/GCF_015190655.1_ASM1519065v1_genomic.fna.gz
GCF_015336085.1	PRJNA224116	SAMN16619712			na		632	632	Yersinia pestis	strain=C-781		latest	Complete Genome	Major	Full	2020/11/10	ASM1533608v1	RARI	GCA_015336085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/336/085/GCF_015336085.1_ASM1533608v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015336085.1/GCF_015336085.1_ASM1533608v1_genomic.fna.gz
GCF_015336265.1	PRJNA224116	SAMN16619718			na		632	632	Yersinia pestis	strain=M2029		latest	Complete Genome	Major	Full	2020/11/10	ASM1533626v1	RARI	GCA_015336265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/336/265/GCF_015336265.1_ASM1533626v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015336265.1/GCF_015336265.1_ASM1533626v1_genomic.fna.gz
GCF_015336465.1	PRJNA224116	SAMN16619721			na		632	632	Yersinia pestis	strain=I-1252		latest	Complete Genome	Major	Full	2020/11/10	ASM1533646v1	RARI	GCA_015336465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/336/465/GCF_015336465.1_ASM1533646v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015336465.1/GCF_015336465.1_ASM1533646v1_genomic.fna.gz
GCF_015336695.1	PRJNA224116	SAMN16619723			na		632	632	Yersinia pestis	strain=M2086		latest	Complete Genome	Major	Full	2020/11/10	ASM1533669v1	RARI	GCA_015336695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/336/695/GCF_015336695.1_ASM1533669v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015336695.1/GCF_015336695.1_ASM1533669v1_genomic.fna.gz
GCF_015336865.1	PRJNA224116	SAMN16619719			na		632	632	Yersinia pestis	strain=M-1974		latest	Complete Genome	Major	Full	2020/11/10	ASM1533686v1	RARI	GCA_015336865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/336/865/GCF_015336865.1_ASM1533686v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015336865.1/GCF_015336865.1_ASM1533686v1_genomic.fna.gz
GCF_015337085.1	PRJNA224116	SAMN16619714			na		632	632	Yersinia pestis	strain=C-792		latest	Complete Genome	Major	Full	2020/11/10	ASM1533708v1	RARI	GCA_015337085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/337/085/GCF_015337085.1_ASM1533708v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015337085.1/GCF_015337085.1_ASM1533708v1_genomic.fna.gz
GCF_015337285.1	PRJNA224116	SAMN16619713			na		632	632	Yersinia pestis	strain=C-783		latest	Complete Genome	Major	Full	2020/11/10	ASM1533728v1	RARI	GCA_015337285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/337/285/GCF_015337285.1_ASM1533728v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015337285.1/GCF_015337285.1_ASM1533728v1_genomic.fna.gz
GCF_015337445.1	PRJNA224116	SAMN16619715			na		632	632	Yersinia pestis	strain=KM 567		latest	Complete Genome	Major	Full	2020/11/10	ASM1533744v1	RARI	GCA_015337445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/337/445/GCF_015337445.1_ASM1533744v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015337445.1/GCF_015337445.1_ASM1533744v1_genomic.fna.gz
GCF_015337645.1	PRJNA224116	SAMN16619716			na		632	632	Yersinia pestis	strain=M-1482		latest	Complete Genome	Major	Full	2020/11/10	ASM1533764v1	RARI	GCA_015337645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/337/645/GCF_015337645.1_ASM1533764v1	./Yersinia_pestis/1-prepare_module/refseq/bacteria/GCF_015337645.1/GCF_015337645.1_ASM1533764v1_genomic.fna.gz
