assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name_x,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,strain,orig_name,to_annotate,gsize,nb_conts,L90,file,asm_name_y,name_no_strain,label
GCF_001469735.1,PRJNA224116,SAMN04320555,,,na,,663,663,Vibrio alginolyticus,strain=ATCC 33787,,latest,Complete Genome,Major,Full,2015/12/09,ASM146973v1,South China Sea Institute of Oceanology,GCA_001469735.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/735/GCF_001469735.1_ASM146973v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_001469735.1/GCF_001469735.1_ASM146973v1_genomic.fna.gz,VIBR.0621.00298,Vibrio/1-prepare_module/tmp_files/GCF_001469735.1_ASM146973v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_001469735.1_ASM146973v1_genomic.fna_prepare-split125N.fna,5724939,5,2,GCF_001469735.1_ASM146973v1_genomic.fna_prepare-split125N.fna,ASM146973v1,ATCC 33787,Vibrio alginolyticus ATCC 33787
GCF_001679745.1,PRJNA224116,SAMN05271497,,,na,,663,663,Vibrio alginolyticus,strain=ZJ-T,,latest,Complete Genome,Major,Full,2016/07/05,ASM167974v1,"South China Sea Institute of Oceanology, Chinese Academy of Sciences",GCA_001679745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/679/745/GCF_001679745.1_ASM167974v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_001679745.1/GCF_001679745.1_ASM167974v1_genomic.fna.gz,VIBR.0621.00006,Vibrio/1-prepare_module/tmp_files/GCF_001679745.1_ASM167974v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_001679745.1_ASM167974v1_genomic.fna_prepare-split125N.fna,5406094,2,2,GCF_001679745.1_ASM167974v1_genomic.fna_prepare-split125N.fna,ASM167974v1,ZJ-T,Vibrio alginolyticus ZJ-T
GCF_002119525.1,PRJNA224116,SAMN05860643,,,na,,663,663,Vibrio alginolyticus,strain=K08M4,,latest,Complete Genome,Major,Full,2017/05/09,ASM211952v1,Goettingen Genomics Laboratory,GCA_002119525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/525/GCF_002119525.1_ASM211952v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_002119525.1/GCF_002119525.1_ASM211952v1_genomic.fna.gz,VIBR.0621.00012,Vibrio/1-prepare_module/tmp_files/GCF_002119525.1_ASM211952v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_002119525.1_ASM211952v1_genomic.fna_prepare-split125N.fna,4886292,2,2,GCF_002119525.1_ASM211952v1_genomic.fna_prepare-split125N.fna,ASM211952v1,K08M4,Vibrio alginolyticus K08M4
GCF_002119545.1,PRJNA224116,SAMN05860639,,,na,,663,663,Vibrio alginolyticus,strain=K04M5,,latest,Complete Genome,Major,Full,2017/05/09,ASM211954v1,Goettingen Genomics Laboratory,GCA_002119545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/545/GCF_002119545.1_ASM211954v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_002119545.1/GCF_002119545.1_ASM211954v1_genomic.fna.gz,VIBR.0621.00208,Vibrio/1-prepare_module/tmp_files/GCF_002119545.1_ASM211954v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_002119545.1_ASM211954v1_genomic.fna_prepare-split125N.fna,5666255,3,2,GCF_002119545.1_ASM211954v1_genomic.fna_prepare-split125N.fna,ASM211954v1,K04M5,Vibrio alginolyticus K04M5
GCF_002119585.1,PRJNA224116,SAMN05860645,,,na,,663,663,Vibrio alginolyticus,strain=K10K4,,latest,Complete Genome,Major,Full,2017/05/09,ASM211958v1,Goettingen Genomics Laboratory,GCA_002119585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/585/GCF_002119585.1_ASM211958v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_002119585.1/GCF_002119585.1_ASM211958v1_genomic.fna.gz,VIBR.0621.00009,Vibrio/1-prepare_module/tmp_files/GCF_002119585.1_ASM211958v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_002119585.1_ASM211958v1_genomic.fna_prepare-split125N.fna,5389178,2,2,GCF_002119585.1_ASM211958v1_genomic.fna_prepare-split125N.fna,ASM211958v1,K10K4,Vibrio alginolyticus K10K4
GCF_002953515.1,PRJNA224116,SAMN03996324,,,na,,663,663,Vibrio alginolyticus,strain=FDAARGOS_108,,latest,Complete Genome,Major,Full,2018/02/20,ASM295351v1,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCA_002953515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/515/GCF_002953515.1_ASM295351v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_002953515.1/GCF_002953515.1_ASM295351v1_genomic.fna.gz,VIBR.0621.00210,Vibrio/1-prepare_module/tmp_files/GCF_002953515.1_ASM295351v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_002953515.1_ASM295351v1_genomic.fna_prepare-split125N.fna,5446027,3,2,GCF_002953515.1_ASM295351v1_genomic.fna_prepare-split125N.fna,ASM295351v1,FDAARGOS_108,Vibrio alginolyticus FDAARGOS_108
GCF_002953535.1,PRJNA224116,SAMN03996326,,,na,,663,663,Vibrio alginolyticus,strain=FDAARGOS_110,,latest,Complete Genome,Major,Full,2018/02/20,ASM295353v1,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCA_002953535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/535/GCF_002953535.1_ASM295353v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_002953535.1/GCF_002953535.1_ASM295353v1_genomic.fna.gz,VIBR.0621.00017,Vibrio/1-prepare_module/tmp_files/GCF_002953535.1_ASM295353v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_002953535.1_ASM295353v1_genomic.fna_prepare-split125N.fna,5268677,2,2,GCF_002953535.1_ASM295353v1_genomic.fna_prepare-split125N.fna,ASM295353v1,FDAARGOS_110,Vibrio alginolyticus FDAARGOS_110
GCF_002953975.1,PRJNA224116,SAMN03996330,,,na,,663,663,Vibrio alginolyticus,strain=FDAARGOS_114,,latest,Complete Genome,Major,Full,2018/02/20,ASM295397v1,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCA_002953975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/975/GCF_002953975.1_ASM295397v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_002953975.1/GCF_002953975.1_ASM295397v1_genomic.fna.gz,VIBR.0621.00021,Vibrio/1-prepare_module/tmp_files/GCF_002953975.1_ASM295397v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_002953975.1_ASM295397v1_genomic.fna_prepare-split125N.fna,5178268,2,2,GCF_002953975.1_ASM295397v1_genomic.fna_prepare-split125N.fna,ASM295397v1,FDAARGOS_114,Vibrio alginolyticus FDAARGOS_114
GCF_009665435.1,PRJNA224116,SAMN10702675,,,na,,663,663,Vibrio alginolyticus,strain=2013V-1302,,latest,Complete Genome,Major,Full,2019/11/18,ASM966543v1,CDC,GCA_009665435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/665/435/GCF_009665435.1_ASM966543v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_009665435.1/GCF_009665435.1_ASM966543v1_genomic.fna.gz,VIBR.0621.00023,Vibrio/1-prepare_module/tmp_files/GCF_009665435.1_ASM966543v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_009665435.1_ASM966543v1_genomic.fna_prepare-split125N.fna,5137878,2,2,GCF_009665435.1_ASM966543v1_genomic.fna_prepare-split125N.fna,ASM966543v1,2013V-1302,Vibrio alginolyticus 2013V-1302
GCF_009763085.1,PRJNA224116,SAMN12648291,,,na,,663,663,Vibrio alginolyticus,strain=2014V-1011,,latest,Complete Genome,Major,Full,2019/12/18,ASM976308v1,CDC,GCA_009763085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/763/085/GCF_009763085.1_ASM976308v1,./Vibrio/1-prepare_module/refseq/bacteria/GCF_009763085.1/GCF_009763085.1_ASM976308v1_genomic.fna.gz,VIBR.0621.00274,Vibrio/1-prepare_module/tmp_files/GCF_009763085.1_ASM976308v1_genomic.fna_prepare-split125N.fna,Vibrio/1-prepare_module/tmp_files/GCF_009763085.1_ASM976308v1_genomic.fna_prepare-split125N.fna,5418945,4,2,GCF_009763085.1_ASM976308v1_genomic.fna_prepare-split125N.fna,ASM976308v1,2014V-1011,Vibrio alginolyticus 2014V-1011
