orf_name,sim_pp1,family,orf_L,orf_R,orf_bp,aas,ori
Gen_a5228db3_75_00157,44.64% ISMno23_aa1,IS91,169835,168939,897,298,-
Gen_a5228db3_75_00265,49.39% IS643_aa2,IS21,293647,295050,1404,467,+
Gen_a5228db3_75_00429,100% IS150_aa1,IS3 ssgr IS150,481423,481944,522,173,+
Gen_a5228db3_75_00430,99.17% IS150_aa2,IS3 ssgr IS150,482427,482792,366,121,+
Gen_a5228db3_75_00594,67.81% ISVsa17_aa1,ISNCY ssgr ISPlu15,671957,671064,894,297,-
Gen_a5228db3_75_00766,53.04% ISSm4_aa2,ISL3,831570,830443,1128,375,-
Gen_a5228db3_75_01023,99.07% ISEc18_aa1,IS481,1103080,1102109,972,323,-
Gen_a5228db3_75_01112,53.84% ISMno24_aa2,IS91,1193213,1194109,897,298,+
Gen_a5228db3_75_01624,47.13% ISMno23_aa1,IS91,1753532,1752963,570,189,-
Gen_a5228db3_75_01625,47.42% ISMno23_aa1,IS91,1754281,1754910,630,209,+
Gen_a5228db3_75_01725,67.81% ISVsa17_aa1,ISNCY ssgr ISPlu15,1847232,1848122,891,296,+
Gen_a5228db3_75_01780,98.60% IS609_aa1,IS200/IS605,1904731,1904126,606,201,-
Gen_a5228db3_75_01781,97.38% IS609_aa2,IS200/IS605,1904799,1905947,1149,382,+
Gen_a5228db3_75_01785,69.25% ISPlu15_aa1,ISNCY ssgr ISPlu15,1909248,1908289,960,319,-
Gen_a5228db3_75_02238,100% ISEc46_aa2,IS200/IS605,2386204,2385467,738,245,-
Gen_a5228db3_75_02239,97.82% ISEc46_aa2,IS200/IS605,2386635,2386345,291,96,-
Gen_a5228db3_75_02240,100% ISEc46_aa1,IS200/IS605,2386692,2387117,426,141,+
Gen_a5228db3_75_02649,100% IS150_aa1,IS3 ssgr IS150,2822227,2822748,522,173,+
Gen_a5228db3_75_02650,99.17% IS150_aa2,IS3 ssgr IS150,2823231,2823596,366,121,+
Gen_a5228db3_75_02775,67.75% TnAs1_aa5,Tn3,2950750,2951319,570,189,+
Gen_a5228db3_75_02968,99.5% IS1397_aa2,IS3 ssgr IS150,3136634,3136032,603,200,-
Gen_a5228db3_75_02969,98.24% IS1397_aa1,IS3 ssgr IS150,3137032,3136859,174,57,-
Gen_a5228db3_75_03123,100% IS1397_aa2,IS3 ssgr IS150,3288745,3288143,603,200,-
Gen_a5228db3_75_03124,98.24% IS1397_aa1,IS3 ssgr IS150,3289143,3288970,174,57,-
Gen_a5228db3_75_03217,67.28% ISPa38_aa1,Tn3,3403555,3403211,345,114,-
Gen_a5228db3_75_03255,46.77% ISWz1_aa1,IS91,3430772,3431824,1053,350,+
Gen_a5228db3_75_03407,57.00% TnShfr1_aa1,Tn3,3575085,3576026,942,313,+
Gen_a5228db3_75_03824,46.91% ISMpo10_aa2,Tn3,4041979,4042680,702,233,+
Gen_a5228db3_75_03869,46.95% ISKpn25_aa1,ISL3,4093793,4096231,2439,812,+
Gen_a5228db3_75_03873,40.18% ISSm4_aa4,ISL3,4099338,4102433,3096,1031,+
Gen_a5228db3_75_03879,98.74% ISEc20_aa1,IS110,4106349,4107545,1197,398,+
Gen_a5228db3_75_03900,61.37% ISBmu11_aa1,IS3 ssgr IS150,4137289,4138008,720,239,+
Gen_a5228db3_75_03901,97.52% ISSso4_aa1,IS21,4138235,4138684,450,149,+
Gen_a5228db3_75_03902,97.12% ISSso4_aa1,IS21,4138703,4139374,672,223,+
Gen_a5228db3_75_03903,97.67% ISSso4_aa1,IS21,4139502,4139858,357,118,+
Gen_a5228db3_75_03904,96.42% ISSso4_aa2,IS21,4139952,4140542,591,196,+
Gen_a5228db3_75_03905,74.13% ISAtu3_aa1,IS3 ssgr IS150,4140607,4141443,837,278,+
Gen_a5228db3_75_03907,94.44% ISEc53_aa2,ISL3,4142494,4143339,846,281,+
Gen_a5228db3_75_03908,90.4% ISEc53_aa2,ISL3,4143336,4143713,378,125,+
Gen_a5228db3_75_03909,97% ISSfl10_aa1,IS3 ssgr IS3,4144305,4144607,303,100,+
Gen_a5228db3_75_03910,98.89% ISSd1_aa2,IS3 ssgr IS3,4144643,4145461,819,272,+
Gen_a5228db3_75_03912,93.02% ISEc38_aa1,ISL3,4146330,4146896,567,188,+
Gen_a5228db3_75_03945,99.47% ISEc1_aa1,ISAs1,4181540,4180404,1137,378,-
Gen_a5228db3_75_03947,98.40% ISEc1_aa1,ISAs1,4184725,4183769,957,318,-
Gen_a5228db3_75_04052,64.13% ISPlu15_aa1,ISNCY ssgr ISPlu15,4301753,4300809,945,314,-
Gen_a5228db3_75_04268,44.82% ISNpu13_aa2,Tn3,4533152,4531929,1224,407,-
Gen_a5228db3_75_04283,49.39% ISSme2_aa2,IS21,4541998,4542735,738,245,+
Gen_a5228db3_75_04308,54.31% ISSm4_aa1,ISL3,4570804,4573149,2346,781,+
Gen_a5228db3_75_04309,47.83% ISKpn25_aa2,ISL3,4573149,4574552,1404,467,+
Gen_a5228db3_75_04310,59.42% ISKpn25_aa3,ISL3,4574549,4577812,3264,1087,+
Gen_a5228db3_75_04314,66.87% ISVsa17_aa1,ISNCY ssgr ISPlu15,4581619,4580663,957,318,-
Gen_a5228db3_75_04343,45.57% ISShvi3_aa1,IS91,4616721,4616125,597,198,-
Gen_a5228db3_75_04344,44.52% ISShvi3_aa1,IS91,4617801,4617199,603,200,-
Gen_a5228db3_75_04349,69.40% ISCro3_aa1,IS4,4622263,4622652,390,129,+
Gen_a5228db3_75_04428,96.85% IS609_aa2,IS200/IS605,4732622,4731474,1149,382,-
Gen_a5228db3_75_04429,98.94% IS609_aa1,IS200/IS605,4732690,4732977,288,95,+
