orf_name,sim_pp1,family,orf_L,orf_R,orf_bp,aas,ori
Gen_e42edad5_23_00128,70.07% ISPlu15_aa1,ISNCY ssgr ISPlu15,151371,152273,903,300,+
Gen_e42edad5_23_00136,99.33% IS2_aa2,IS3 ssgr IS2,158974,158069,906,301,-
Gen_e42edad5_23_00137,100% ISEc27_aa1,IS3 ssgr IS2,159297,158932,366,121,-
Gen_e42edad5_23_00138,98.14% IS3411_aa1,IS3 ssgr IS51,159387,159713,327,108,+
Gen_e42edad5_23_00139,100% IS629_aa2,IS3 ssgr IS51,159713,160600,888,295,+
Gen_e42edad5_23_00237,99.07% IS3411_aa1,IS3 ssgr IS51,267617,267943,327,108,+
Gen_e42edad5_23_00238,100% IS629_aa2,IS3 ssgr IS51,267943,268830,888,295,+
Gen_e42edad5_23_00244,98.94% ISEc1_aa1,ISAs1,276567,277703,1137,378,+
Gen_e42edad5_23_00302,46.38% ISMpo10_aa2,Tn3,335843,335250,594,197,-
Gen_e42edad5_23_00309,99.33% IS2_aa2,IS3 ssgr IS2,343747,342842,906,301,-
Gen_e42edad5_23_00310,100% ISEc27_aa1,IS3 ssgr IS2,344070,343705,366,121,-
Gen_e42edad5_23_00367,100% ISEc17_aa1,IS3 ssgr IS3,409003,409302,300,99,+
Gen_e42edad5_23_00368,100% IS3_aa3,IS3 ssgr IS3,409299,410165,867,288,+
Gen_e42edad5_23_00495,90.16% ISErsp1_aa1,IS481,547434,547063,372,123,-
Gen_e42edad5_23_00547,99.73% IS421_aa1,IS4 ssgr IS231,604180,605292,1113,370,+
Gen_e42edad5_23_00670,96.20% ISEc1_aa1,ISAs1,731131,731385,255,84,+
Gen_e42edad5_23_00671,99.64% ISEc1_aa1,ISAs1,731789,732646,858,285,+
Gen_e42edad5_23_00672,96.04% ISEc5_aa1,ISAs1,732777,733538,762,253,+
Gen_e42edad5_23_00719,56.68% TnShfr1_aa1,Tn3,779501,778560,942,313,-
