id,vertex1,vertex2,mean_break_length_nucleotide,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,parallel_breakpoint_score,parallel_breakpoint_count,tree_consistent
1,7h,8t,6363,0,0,0,0.00099555,2,False
2,10t,9h,487,0,0,0,0.00099555,2,False
3,98h,99t,20272,0,0,0,0.000937,2,False
4,54h,55t,10471,0,0,0,0.00027471,2,False
5,82h,83t,26557,0,0,0,0.00025863,2,False
6,43h,44t,6353,0,0,0,0.00025863,2,False
7,97h,98t,6523,0,0,0,0,0,True
8,96h,97t,8,0,0,0,0,0,True
9,95h,96t,4234,0,0,0,0,1,True
10,94h,95t,7371,0,0,0,0,1,True
11,84h,85t,3362,0,0,0,0,1,True
12,81h,82t,13740,0,0,0,0,1,True
13,75h,76t,4216,0,0,0,0,1,True
14,72h,73t,2664,0,0,0,0,0,True
15,66h,71t,36156,0,0,0,0,0,True
16,65h,66t,1,0,0,0,0,0,True
17,64h,65t,1,0,0,0,0,0,True
18,62h,63t,7377,0,0,0,0,0,True
19,60h,61t,7346,0,0,0,0,0,True
20,59h,60t,1,0,0,0,0,1,True
21,53h,54t,4118,0,0,0,0,1,True
22,52h,53t,8869,0,0,0,0,1,True
23,51h,52t,238,0,0,0,0,1,True
24,50h,51t,10,0,0,0,0,1,True
25,49h,50t,1,0,0,0,0,0,True
26,46h,47t,1457,0,0,0,0,1,True
27,40h,41t,11933,0,0,0,0,1,True
28,3h,4t,1,0,0,0,0,1,True
29,39h,40t,2085,0,0,0,0,1,True
30,37h,38t,240,0,0,0,0,1,True
31,28h,30t,8131,0,0,0,0,1,True
32,19h,20t,3422,0,0,0,0,1,True
33,15h,16t,1324,0,0,0,0,1,True
34,129h,1t,3635,0,0,0,0,1,True
35,128h,129t,1295,0,0,0,0,1,True
36,127h,128t,3314,0,0,0,0,1,True
37,126h,127t,5439,0,0,0,0,1,True
38,124h,125t,948,0,0,0,0,1,True
39,11h,12t,62,0,0,0,0,1,True
40,116h,117t,3400,0,0,0,0,1,True
41,114h,115t,8691,0,0,0,0,1,True
42,113h,114t,1,0,0,0,0,1,True
43,111h,113t,6351,0,0,0,0,1,True
44,100t,99h,7429,0,0,0,0,1,True
