id,vertex1,vertex2,mean_break_length_nucleotide,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,parallel_breakpoint_score,parallel_breakpoint_count,tree_consistent
1,1t,281h,1,0,0,0,0.00099555,2,False
2,170h,171t,1076,0,0,0,0.00099555,2,False
3,169h,170t,860,0,0,0,0.00099555,2,False
4,15h,16t,487,0,0,0,0.00099555,2,False
5,12h,13t,3061,0,0,0,0.00099555,2,False
6,11h,12t,1456,0,0,0,0.00099555,2,False
7,167h,169t,3701,0,0,0,0.0009758799999999999,2,False
8,117h,118t,3574,0,0,0,0.00027471,2,False
9,87h,88t,6353,0,0,0,0.00025863,2,False
10,172h,177t,26557,0,0,0,0.00025863,2,False
11,95h,97t,1457,0,0,0,0,1,True
12,82h,83t,699,0,0,0,0,0,True
13,80h,81t,1,0,0,0,0,0,True
14,75h,76t,1,0,0,0,0,1,True
15,74h,75t,393,0,0,0,0,0,True
16,66h,67t,240,0,0,0,0,1,True
17,55h,57t,4734,0,0,0,0,1,True
18,4h,5t,915,0,0,0,0,1,True
19,46h,47t,1,0,0,0,0,1,True
20,45h,46t,29,0,0,0,0,1,True
21,33h,36t,3422,0,0,0,0,1,True
22,279h,280t,1295,0,0,0,0,1,True
23,278h,279t,3314,0,0,0,0,1,True
24,277h,278t,5439,0,0,0,0,1,True
25,272h,273t,948,0,0,0,0,1,True
26,26h,27t,1324,0,0,0,0,1,True
27,262h,263t,1,0,0,0,0,1,True
28,252h,253t,93,0,0,0,0,1,True
29,250h,251t,1,0,0,0,0,1,True
30,247h,250t,6351,0,0,0,0,1,True
31,221h,222t,4276,0,0,0,0,1,True
32,219h,220t,1,0,0,0,0,0,True
33,218h,219t,2232,0,0,0,0,0,True
34,216h,217t,4186,0,0,0,0,0,True
35,215h,216t,8,0,0,0,0,0,True
36,213h,214t,1,0,0,0,0,0,True
37,211h,213t,4955,0,0,0,0,0,True
38,209h,210t,8,0,0,0,0,0,True
39,208h,209t,4234,0,0,0,0,1,True
40,204h,207t,7371,0,0,0,0,1,True
41,19h,20t,62,0,0,0,0,1,True
42,183h,184t,3362,0,0,0,0,1,True
43,152h,153t,1253,0,0,0,0,1,True
44,146h,147t,1,0,0,0,0,0,True
45,137h,143t,36156,0,0,0,0,0,True
46,136h,137t,1,0,0,0,0,0,True
47,135h,136t,1,0,0,0,0,0,True
48,133h,134t,1,0,0,0,0,0,True
49,130h,133t,5760,0,0,0,0,0,True
50,128t,282h,1631,0,0,0,0,0,True
51,127h,282t,4148,0,0,0,0,0,True
52,126h,127t,1,0,0,0,0,1,True
53,110h,111t,1962,0,0,0,0,1,True
54,109h,110t,427,0,0,0,0,1,True
55,106h,107t,6421,0,0,0,0,1,True
56,104h,105t,238,0,0,0,0,1,True
57,103h,104t,10,0,0,0,0,1,True
58,102h,103t,1,0,0,0,0,0,True
