block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
72,2,61644.8,258.4546381862782,0.0015727012000000002,1,4,False
74,2,22748.44,35.80846827218389,0.0015727012000000002,1,4,False
73,2,10197.36,22.694281217963262,0.0015727012000000002,1,4,False
70,2,29788.296296296296,32.33483938624763,0.001544101,1,4,False
218,1,10748.884615384615,17.354509329936132,0.0015267812000000001,1,4,False
45,2,9085.521739130434,12.114919171857595,0.0014412202,1,5,False
32,2,6452.307692307692,42.872592312544306,0.0012297167,1,4,False
31,2,14465.461538461539,5.379668056894112,0.0012297167,1,4,False
34,2,24889.55,37.654315821695654,0.0009170418,2,5,False
47,2,35618.88461538462,61.06196532594947,0.0008534786999999999,1,4,False
46,2,31024.346153846152,46.18936133561186,0.0008534786999999999,1,4,False
48,2,30500.0,14.570782144678862,0.0008534786999999999,1,4,False
219,1,12308.035714285714,16.691490866514556,0.000834776,1,3,False
216,2,49460.65517241379,30.097858627081607,0.000780878,1,3,False
87,2,7780.888888888889,3.3975299669823675,0.0007750416000000001,1,3,False
68,2,5524.333333333333,4.714045207910317,0.0007062613,1,4,False
217,2,11791.535714285714,86.81938647184128,0.0006831114000000001,1,3,False
203,1,10875.92857142857,92.76041665473039,0.0005882279999999999,1,3,False
69,2,46526.07142857143,242.94134044653492,0.0005189874,1,3,False
49,2,9908.857142857143,70.64838198820281,0.000514487,1,3,False
205,1,29611.84,68.10737405009827,0.0004993034,1,3,False
78,2,20216.066666666666,34.808938826431095,0.00035339960000000005,1,2,False
86,2,30649.0,29.70734447555812,0.00035269280000000005,1,2,False
84,2,13689.263157894737,23.16949470240003,0.00035269280000000005,1,2,False
83,2,6860.421052631579,0.7480352843974681,0.00035269280000000005,1,2,False
148,1;2,15151.033333333333,103.68236215587598,0.0003396156,1,2,False
63,2,25642.071428571428,21.44915677901144,0.0003341434,1,3,False
62,2,6152.571428571428,5.080976926793927,0.0003341434,1,3,False
58,2,5929.294117647059,21.490804342329227,0.00030380950000000005,1,2,False
85,2,8087.388888888889,14.426591531261863,0.00030380950000000005,1,2,False
10,2,46083.59090909091,106.41243053281336,0.0002914828,1,3,False
11,2,17291.454545454544,6.0807241847965985,0.0002914828,1,3,False
77,2,18637.071428571428,32.33853138664306,0.00028490270000000004,1,2,False
75,2,50226.5,24.492710285773953,0.00028490270000000004,1,2,False
76,2,6035.107142857143,3.994096408757428,0.00028490270000000004,1,2,False
157,1,5598.555555555556,4.645454435637083,0.0002170144,1,2,False
67,2,35804.76666666667,25.293850811786026,0.0002144864,1,2,False
201,1,53264.26666666667,48.526922653535564,0.000141536,1,2,False
202,1,14708.4,5.043808085167396,0.000141536,1,2,False
61,2,12201.588235294117,63.07610606013455,0.00010999629999999999,1,2,False
169,1,19812.666666666668,9.041877877717413,3.7560899999999995e-05,1,2,False
116,1,19647.170731707316,13.144418158781205,3.2348e-06,1,2,False
115,1,40483.325,37.069790598275574,3.1994999999999996e-06,1,2,False
14,2,23277.41935483871,654.6790779529014,0,0,0,True
114,1,37089.96875,612.5918545601447,0,0,0,True
189,1;2,41615.40625,430.2710526063048,0,0,0,True
97,1,99646.5625,320.3256094878304,0,0,0,True
193,1;2,12459.90625,320.20299805113865,0,0,0,True
19,2,29922.625,318.4722073823711,0,0,0,True
211,1,7761.0,301.24035254261673,0,0,0,True
172,1,46960.15625,239.0777997555137,0,0,0,True
81,2,14685.774193548386,235.7104168770435,0,0,0,True
80,2,30146.290322580644,232.65497000416283,0,0,0,True
146,1;2,52840.25,230.50433835396677,0,0,0,True
138,1,26882.34375,216.06720733590626,0,0,0,True
177,1,22848.542857142857,211.75381161786407,0,0,0,True
143,1,10219.29411764706,200.55518961883033,0,0,0,True
57,2,74275.53125,197.03013481048401,0,0,0,True
12,2,34846.4375,196.64862977847062,0,0,0,True
3,2,59405.03125,149.66660540493828,0,0,0,True
195,1,29521.71875,138.0917345406216,0,0,0,True
60,2,49235.606060606064,137.27409859506358,0,0,0,True
44,2,59493.86666666667,135.3345812750344,0,0,0,True
71,2,40950.32258064516,133.13185002137718,0,0,0,True
79,2,57877.6129032258,129.3484110702949,0,0,0,True
40,2,34078.46875,108.34204642444918,0,0,0,True
144,1,58634.6875,107.94397780214513,0,0,0,True
197,1,36765.09375,104.98760622538977,0,0,0,True
158,1,22934.5,96.85620785473691,0,0,0,True
96,1,35094.65625,94.82372111416795,0,0,0,True
187,1;2,32295.09375,94.2428244533105,0,0,0,True
100,1,5538.03125,89.31317245198213,0,0,0,True
207,1,44768.53125,81.71902485613433,0,0,0,True
25,2,36021.78125,74.69133750601539,0,0,0,True
182,1;2,25743.46875,70.57929245492264,0,0,0,True
1,2,61163.709677419356,68.72863588213085,0,0,0,True
192,1;2,74025.40625,65.4053989433403,0,0,0,True
206,1,59966.625,64.35533680278583,0,0,0,True
134,1,17650.852941176472,63.47724573926943,0,0,0,True
198,1,40319.09375,60.789266823490316,0,0,0,True
64,2,24865.875,60.6350507132632,0,0,0,True
112,1;2,35004.75,60.50258258950605,0,0,0,True
118,1,31868.625,59.288884919519276,0,0,0,True
