assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name_x,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,strain,orig_name,to_annotate,gsize,nb_conts,L90,file,asm_name_y,name_no_strain,label
GCF_000763245.3,PRJNA224116,SAMN02947975,,,na,,287,287,Pseudomonas aeruginosa,strain=CCBH4851,,latest,Complete Genome,Major,Full,2020/03/04,ASM76324v3,Instituto Oswaldo Cruz,GCA_000763245.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/763/245/GCF_000763245.3_ASM76324v3,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_000763245.3/GCF_000763245.3_ASM76324v3_genomic.fna.gz,PSAE.0521.00002,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000763245.3_ASM76324v3_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000763245.3_ASM76324v3_genomic.fna_prepare-split125N.fna,6834257,1,1,GCF_000763245.3_ASM76324v3_genomic.fna_prepare-split125N.fna,ASM76324v3,CCBH4851,Pseudomonas aeruginosa CCBH4851
GCF_000816985.1,PRJNA224116,SAMN02673269,,,na,,287,287,Pseudomonas aeruginosa,strain=F22031,,latest,Complete Genome,Major,Full,2015/01/09,ASM81698v1,MSKCC,GCA_000816985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/985/GCF_000816985.1_ASM81698v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_000816985.1/GCF_000816985.1_ASM81698v1_genomic.fna.gz,PSAE.0521.00011,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000816985.1_ASM81698v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000816985.1_ASM81698v1_genomic.fna_prepare-split125N.fna,6603099,1,1,GCF_000816985.1_ASM81698v1_genomic.fna_prepare-split125N.fna,ASM81698v1,F22031,Pseudomonas aeruginosa F22031
GCF_000829255.1,PRJNA224116,SAMD00019082,,,na,,287,287,Pseudomonas aeruginosa,strain=NCGM1984,,latest,Complete Genome,Major,Full,2014/09/18,ASM82925v1,National Center for Global Health and Medicine,GCA_000829255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/255/GCF_000829255.1_ASM82925v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_000829255.1/GCF_000829255.1_ASM82925v1_genomic.fna.gz,PSAE.0521.00005,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000829255.1_ASM82925v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000829255.1_ASM82925v1_genomic.fna_prepare-split125N.fna,6850954,1,1,GCF_000829255.1_ASM82925v1_genomic.fna_prepare-split125N.fna,ASM82925v1,NCGM1984,Pseudomonas aeruginosa NCGM1984
GCF_000829275.1,PRJNA224116,SAMD00018700,,,na,,287,287,Pseudomonas aeruginosa,strain=NCGM1900,,latest,Complete Genome,Major,Full,2014/08/01,ASM82927v1,"Department of Infectious Diseases, National Center for Global Health and Medicine",GCA_000829275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/275/GCF_000829275.1_ASM82927v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_000829275.1/GCF_000829275.1_ASM82927v1_genomic.fna.gz,PSAE.0521.00014,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000829275.1_ASM82927v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000829275.1_ASM82927v1_genomic.fna_prepare-split125N.fna,6814936,1,1,GCF_000829275.1_ASM82927v1_genomic.fna_prepare-split125N.fna,ASM82927v1,NCGM1900,Pseudomonas aeruginosa NCGM1900
GCF_000829885.1,PRJNA224116,SAMN02732380,,,na,,287,287,Pseudomonas aeruginosa,strain=FRD1,,latest,Complete Genome,Major,Full,2015/01/29,ASM82988v1,Mercer University,GCA_000829885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/885/GCF_000829885.1_ASM82988v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_000829885.1/GCF_000829885.1_ASM82988v1_genomic.fna.gz,PSAE.0521.00009,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000829885.1_ASM82988v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000829885.1_ASM82988v1_genomic.fna_prepare-split125N.fna,6712339,1,1,GCF_000829885.1_ASM82988v1_genomic.fna_prepare-split125N.fna,ASM82988v1,FRD1,Pseudomonas aeruginosa FRD1
GCF_000981825.1,PRJNA224116,SAMN03389320,,,na,,287,287,Pseudomonas aeruginosa,strain=Carb01 63,,latest,Complete Genome,Major,Full,2015/04/29,ASM98182v1,Maasstad Hospital,GCA_000981825.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/825/GCF_000981825.1_ASM98182v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_000981825.1/GCF_000981825.1_ASM98182v1_genomic.fna.gz,PSAE.0521.00008,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000981825.1_ASM98182v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000981825.1_ASM98182v1_genomic.fna_prepare-split125N.fna,7497593,1,1,GCF_000981825.1_ASM98182v1_genomic.fna_prepare-split125N.fna,ASM98182v1,Carb01 63,Pseudomonas aeruginosa Carb01 63
GCF_000988505.1,PRJNA224116,SAMN03396926,,,na,,287,287,Pseudomonas aeruginosa,strain=S04 90,,latest,Chromosome,Major,Full,2015/05/06,ASM98850v1,Maasstad Hospital,GCA_000988505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/505/GCF_000988505.1_ASM98850v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_000988505.1/GCF_000988505.1_ASM98850v1_genomic.fna.gz,PSAE.0521.00286,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000988505.1_ASM98850v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_000988505.1_ASM98850v1_genomic.fna_prepare-split125N.fna,7259150,2,1,GCF_000988505.1_ASM98850v1_genomic.fna_prepare-split125N.fna,ASM98850v1,S04 90,Pseudomonas aeruginosa S04 90
GCF_001077475.1,PRJNA224116,SAMN03852256,,,na,,287,287,Pseudomonas aeruginosa,strain=F9676,,latest,Complete Genome,Major,Full,2015/07/13,ASM107747v1,China National Rice Research Institute,GCA_001077475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/475/GCF_001077475.1_ASM107747v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001077475.1/GCF_001077475.1_ASM107747v1_genomic.fna.gz,PSAE.0521.00015,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001077475.1_ASM107747v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001077475.1_ASM107747v1_genomic.fna_prepare-split125N.fna,6368008,1,1,GCF_001077475.1_ASM107747v1_genomic.fna_prepare-split125N.fna,ASM107747v1,F9676,Pseudomonas aeruginosa F9676
GCF_001293085.1,PRJNA224116,SAMN04074798,,,na,,287,287,Pseudomonas aeruginosa,strain=PA1RG,,latest,Complete Genome,Major,Full,2015/09/17,ASM129308v1,Third Military Medical University,GCA_001293085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/085/GCF_001293085.1_ASM129308v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001293085.1/GCF_001293085.1_ASM129308v1_genomic.fna.gz,PSAE.0521.00013,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001293085.1_ASM129308v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001293085.1_ASM129308v1_genomic.fna_prepare-split125N.fna,6500439,1,1,GCF_001293085.1_ASM129308v1_genomic.fna_prepare-split125N.fna,ASM129308v1,PA1RG,Pseudomonas aeruginosa PA1RG
GCF_001447845.1,PRJNA224116,SAMN04284690,,,na,,287,287,Pseudomonas aeruginosa,strain=VA-134,,latest,Complete Genome,Major,Full,2015/11/24,ASM144784v1,The Forsyth Institute,GCA_001447845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/845/GCF_001447845.1_ASM144784v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001447845.1/GCF_001447845.1_ASM144784v1_genomic.fna.gz,PSAE.0521.00017,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001447845.1_ASM144784v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001447845.1_ASM144784v1_genomic.fna_prepare-split125N.fna,6400418,1,1,GCF_001447845.1_ASM144784v1_genomic.fna_prepare-split125N.fna,ASM144784v1,VA-134,Pseudomonas aeruginosa VA-134
