id,vertex1,vertex2,mean_break_length_nucleotide,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,parallel_breakpoint_score,parallel_breakpoint_count,tree_consistent
1,85h,86t,35573,0,0,0,0.0027126200000000002,3,False
2,8h,9t,567,0,0,0,0.00099555,2,False
3,6h,7t,6388,0,0,0,0.00099555,2,False
4,48h,49t,15524,0,0,0,0.00027471,2,False
5,86h,87t,7445,0,0,0,0.00025863,2,False
6,72h,73t,26566,0,0,0,0.00025863,2,False
7,41h,42t,6396,0,0,0,0.00025863,2,False
8,18h,19t,8957,0,0,0,0.00025863,2,False
9,83h,84t,3950,0,0,0,0,1,True
10,82h,83t,7378,0,0,0,0,1,True
11,74h,75t,3380,0,0,0,0,1,True
12,71h,72t,17058,0,0,0,0,1,True
13,66h,67t,4049,0,0,0,0,1,True
14,63h,64t,2664,0,0,0,0,0,True
15,58h,62t,36233,0,0,0,0,0,True
16,57h,58t,1,0,0,0,0,0,True
17,56h,57t,4978,0,0,0,0,0,True
18,55h,56t,7380,0,0,0,0,0,True
19,53h,54t,7384,0,0,0,0,0,True
20,52h,53t,1,0,0,0,0,1,True
21,47h,48t,4842,0,0,0,0,1,True
22,46h,47t,8842,0,0,0,0,1,True
23,42h,43t,5771,0,0,0,0,1,True
24,38h,39t,11925,0,0,0,0,1,True
25,37h,38t,2085,0,0,0,0,1,True
26,35h,36t,243,0,0,0,0,1,True
27,2h,3t,1,0,0,0,0,1,True
28,27h,28t,8132,0,0,0,0,1,True
29,14h,15t,1337,0,0,0,0,1,True
30,113h,1t,6898,0,0,0,0,1,True
31,112h,113t,1391,0,0,0,0,1,True
32,111h,112t,3452,0,0,0,0,1,True
33,110h,111t,10792,0,0,0,0,1,True
34,10h,11t,62,0,0,0,0,1,True
35,109h,110t,948,0,0,0,0,1,True
36,103h,104t,3400,0,0,0,0,1,True
37,101h,102t,8623,0,0,0,0,1,True
38,100t,98h,6311,0,0,0,0,1,True
39,100h,101t,1,0,0,0,0,1,True
