strain,character_state,character_state_annotation
BUMA.0521.00003,3,inversion between 121t-139h and 136t-140t
BUMA.0521.00030,1,complex break of adjacency
BUMA.0521.00017,4,inversion between 121t-139h and 118h-119t
BUMA.0521.00024,0,adjacency exists
BUMA.0521.00014,0,adjacency exists
BUMA.0521.00007,1,complex break of adjacency
BUMA.0521.00021,0,adjacency exists
BUMA.0521.00012,1,complex break of adjacency
BUMA.0521.00029,0,adjacency exists
BUMA.0521.00010,5,inversion between 121t-139h and 140t-137h
BUMA.0521.00031,0,adjacency exists
BUMA.0521.00011,0,adjacency exists
BUMA.0521.00032,4,inversion between 121t-139h and 118h-119t
BUMA.0521.00002,3,inversion between 121t-139h and 136t-140t
BUMA.0521.00004,1,complex break of adjacency
BUMA.0521.00013,1,complex break of adjacency
BUMA.0521.00009,0,adjacency exists
BUMA.0521.00027,0,adjacency exists
BUMA.0521.00018,0,adjacency exists
BUMA.0521.00015,0,adjacency exists
BUMA.0521.00025,0,adjacency exists
BUMA.0521.00006,1,complex break of adjacency
BUMA.0521.00023,0,adjacency exists
BUMA.0521.00022,0,adjacency exists
BUMA.0521.00001,0,adjacency exists
BUMA.0521.00019,0,adjacency exists
BUMA.0521.00020,0,adjacency exists
BUMA.0521.00028,1,complex break of adjacency
BUMA.0521.00008,1,complex break of adjacency
BUMA.0521.00026,0,adjacency exists
BUMA.0521.00016,0,adjacency exists
BUMA.0521.00005,1,complex break of adjacency
