strain,character_state,character_state_annotation
BUMA.0521.00008,3,inversion between 182t-98t and 181h-97h
BUMA.0521.00023,0,adjacency exists
BUMA.0521.00016,0,adjacency exists
BUMA.0521.00026,0,adjacency exists
BUMA.0521.00003,0,adjacency exists
BUMA.0521.00006,4,inversion between 182t-98t and 156h-157t
BUMA.0521.00019,0,adjacency exists
BUMA.0521.00030,4,inversion between 182t-98t and 156h-157t
BUMA.0521.00028,4,inversion between 182t-98t and 156h-157t
BUMA.0521.00009,0,adjacency exists
BUMA.0521.00005,0,adjacency exists
BUMA.0521.00031,5,inversion between 182t-98t and 183t-182h
BUMA.0521.00007,1,complex break of adjacency
BUMA.0521.00001,5,inversion between 182t-98t and 183t-182h
BUMA.0521.00021,0,adjacency exists
BUMA.0521.00002,0,adjacency exists
BUMA.0521.00004,1,complex break of adjacency
BUMA.0521.00024,0,adjacency exists
BUMA.0521.00018,5,inversion between 182t-98t and 183t-182h
BUMA.0521.00012,3,inversion between 182t-98t and 181h-97h
BUMA.0521.00011,4,inversion between 182t-98t and 156h-157t
BUMA.0521.00010,1,complex break of adjacency
BUMA.0521.00014,0,adjacency exists
BUMA.0521.00017,0,adjacency exists
BUMA.0521.00020,0,adjacency exists
BUMA.0521.00022,0,adjacency exists
BUMA.0521.00015,0,adjacency exists
BUMA.0521.00032,0,adjacency exists
BUMA.0521.00025,5,inversion between 182t-98t and 183t-182h
BUMA.0521.00013,0,adjacency exists
BUMA.0521.00027,0,adjacency exists
BUMA.0521.00029,5,inversion between 182t-98t and 183t-182h
