block,gain
1,0.017035103681056984
2,0.017035103681056984
3,0.017035103681056984
4,0.024016186387548877
5,0.024016186387548877
6,0.017035103681056984
7,0.025831912492592757
8,0.025831912492592757
9,0.06461727717332473
10,0.06461727717332473
11,0.03482612376263905
12,0.01864792971267075
13,0.025831912492592757
14,0.017035103681056984
15,0.017035103681056984
16,0.017035103681056984
17,0.017035103681056984
18,0.017035103681056984
19,0.03482612376263905
20,0.025831912492592757
21,0.025831912492592757
22,0.004591135475463276
23,0.024016186387548877
24,0.05045221168691061
25,0.11294863686040313
26,0.004591135475463276
27,0.018920298054192777
28,0.02724836823325079
29,0.10543371171685867
30,0.020769329525431812
31,0.05045221168691061
32,0.05045221168691061
33,0.017035103681056984
34,0.019586801655697372
35,0.019586801655697372
36,0.03872842465958541
37,0.018920298054192777
38,0.024016186387548877
39,0.024016186387548877
40,0.024016186387548877
41,0.024016186387548877
42,0.018920298054192777
43,0.02438695006910374
44,0.018920298054192777
45,0.029069644328304653
46,0.024016186387548877
47,0.029069644328304653
48,0.024016186387548877
49,0.01864792971267075
50,0.024016186387548877
51,0.017035103681056984
52,1.2528246945364696e-05
53,0.004591135475463276
54,0.03927669926546204
55,0.03872842465958541
56,0.01021958318410282
57,0.0070791864312886865
58,0.017035103681056984
59,0.024016186387548877
60,0.029069644328304653
61,0.017035103681056984
62,0.020769329525431812
63,0.0011293791272495857
64,1.2528246945364696e-05
65,0.032163938443025564
66,0.09762846031100036
67,0.09762846031100036
68,0.04330703188810335
69,0.01864792971267075
70,0.018920298054193
71,0.018920298054193
72,0.051559031331186
73,0.03421976364589663
74,0.013412188670751196
75,0.018647929712670708
76,0.024016186387548877
77,0.06866811348192892
78,0.05910390568579449
79,0.018920298054192708
80,0.017035103681056984
81,0.03482612376263905
82,0.029069644328304722
83,0.05910390568579449
84,0.0662883441079027
85,0.05910390568579449
86,0.12023489432746559
87,0.01864792971267075
88,0.08514717502921998
89,0.01864792971267075
90,0.06511751983811187
91,0.06511751983811187
92,0.047659664065328594
93,0.024016186387548877
94,0.018240850985226098
95,0.018240850985226098
96,0.06641727648006979
97,0.03482612376263905
98,0.08214507534902038
99,0.029069644328304722
100,0.0480629680918572
101,0.017035103681056984
102,0.01892029805419293
103,0.04714303287435055
104,0.017035103681056984
105,0.025831912492592757
106,0.025831912492592757
107,0.053444066150463154
108,0.05045221168691061
109,0.025959183831715804
110,0.0023818164241009576
111,0.028485750755614325
112,0.15832927887005388
113,0.023135689865513398
114,0.051559031331186
115,0.04498143583583125
116,0.05212808508339106
117,0.04765966406532862
118,0.04402690046728597
119,0.03482612376263905
120,0.03482612376263905
121,0.03482612376263905
122,0.025831912492592757
123,0.03482612376263905
124,0.03482612376263905
125,0.017035103681056984
126,0.053444066150463154
127,0.053444066150463154
128,0.053444066150463154
129,0.03482612376263905
130,0.017035103681056984
131,0.017035103681056984
132,0.053444066150463154
133,0.053444066150463154
134,0.053444066150463154
135,0.03482612376263905
136,0.03482612376263905
137,0.020769329525431812
138,0.08547183587149233
139,0.018920298054193
140,0.020769329525431812
141,0.03482612376263905
142,0.03482612376263905
143,0.03482612376263905
144,0.03482612376263905
145,0.03482612376263905
146,0.017035103681056984
147,0.017035103681056984
148,0.018920298054193
149,0.017035103681056984
150,0.0407730519944689
151,0.09351688235688005
152,0.03595297225067551
153,0.03639541744970329
154,0.03927669926546204
155,0.0763075143988936
156,0.08927517433909582
157,0.0763075143988936
158,0.05565779457135489
159,0.08547183587149233
160,0.021427143840199003
161,0.05490232299979955
162,0.03927669926546204
163,0.024524768698138355
164,0.018920298054193
165,0.0574186452619264
166,0.051773560581892586
167,0.031116771653695974
168,0.024108660568133267
169,0.02991202178838226
170,0.028043311161858098
171,0.02991202178838226
172,0.06671781530421839
173,0.10166490222666548
174,0.049047246349326834
175,0.0011293791272495857
176,0.021427143840199003
177,0.01818484084456018
178,0.021427143840199003
179,0.021427143840199003
180,0.01384598134970827
181,0.06819410308439855
182,0.044733104019007056
183,0.15076204954737055
184,0.11892140310030441
185,0.01864792971267075
186,0.09762846031100036
187,0.017035103681056984
188,0.017035103681056984
189,0.017035103681056984
190,0.017035103681056984
191,0.017035103681056984
192,0.017035103681056984
193,0.11447253896390536
194,0.002174394007230629
195,0.020055748147229546
196,0.09351688235688005
197,0.04820759854469048
198,0.028101984578699557
199,0.0635170590795856
200,0.0635170590795856
201,0.11254221950197718
202,0.10126317430828191
203,0.0635170590795856
204,0.024016186387548877
205,0.05772264357594803
206,0.0398452755398897
207,0.04580493781413608
208,0.024016186387548877
209,0.0398452755398897
210,0.03457932925827434
211,0.02438695006910374
212,0.03927669926546204
213,0.04402690046728597
214,0.04202532486106336
215,0.0539072122729114
216,0.02796100345908975
217,0.0539072122729114
218,0.0556598060852152
219,0.051901564362659025
220,0.024372421594740012
221,0.024372421594740012
222,0.05490232299979955
223,0.059011682214385464
224,0.10828801894615625
225,0.10828801894615625
226,0.010025196171894457
227,0.012231315024667344
228,0.029846229937135926
229,0.029846229937135926
230,0.02068022992542451
231,0.028816060512318997
232,0.052659684636854664
233,0.05879822432158577
234,0.018920298054193
235,0.09259311074567021
