id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,225h–226t,7055,0.19895825699999997,1,6,0.8589794457999999,12,False
2,188h–189t,3917,0.19895825699999997,1,6,0.4521358723999999,9,False
3,229h–230t,2554,0.011710366000000002,1,2,0.17246212519999998,5,False
4,207h–208t,1018,0.011710366000000002,1,2,0.011710366000000002,2,False
5,219h–220t,2505,0,0,0,0.151092342,5,False
6,272h–273t,1665,0,0,0,0.10889506200000001,4,False
7,250h–253t,23918,0,0,0,0.083394741,4,False
8,351h–352t,6506,0,0,0,0.074914681,4,False
9,371h–372t,6428,0,0,0,0.049220522,3,False
10,417h–418t,3513,0,0,0,0.04369527199999999,3,False
11,220h–221t,17276,0,0,0,0.040765352000000005,3,False
12,197h–204t,17090,0,0,0,0.03037293,3,False
13,121h–122t,1856,0,0,0,0.023688868000000002,2,False
14,153h–154t,4130,0,0,0,0.021275982,2,False
15,276h–277t,745,0,0,0,0.017198308000000002,2,False
16,353h–356t,2182,0,0,0,0.016456172999999994,2,False
17,382h–383t,7947,0,0,0,0.01412859,2,False
18,253h–254t,15,0,0,0,0.011919929999999999,2,False
19,346h–347t,2258,0,0,0,0.011248749999999998,2,False
20,103t–96h,24235,0,0,0,0.007525844,2,False
21,242h–243t,683,0,0,0,0.0045817769999999996,2,False
22,92h–93t,4941,0,0,0,0,0,True
23,91h–92t,3785,0,0,0,0,0,True
24,80h–81t,519,0,0,0,0,0,True
25,79h–80t,1632,0,0,0,0,0,True
26,78h–79t,3475,0,0,0,0,0,True
27,77h–78t,1,0,0,0,0,0,True
28,75h–77t,16319,0,0,0,0,0,True
29,74h–75t,2435,0,0,0,0,0,True
30,62h–63t,790,0,0,0,0,1,True
31,50h–51t,259,0,0,0,0,0,True
32,49h–50t,5,0,0,0,0,0,True
33,44h–45t,1978,0,0,0,0,0,True
34,43h–44t,37,0,0,0,0,0,True
35,42h–43t,2742,0,0,0,0,0,True
36,41h–42t,127,0,0,0,0,0,True
37,418h–419t,1794,0,0,0,0,1,True
38,415h–416t,1678,0,0,0,0,1,True
39,413h–414t,1,0,0,0,0,0,True
40,410h–411t,39,0,0,0,0,0,True
41,40h–41t,371,0,0,0,0,0,True
42,409h–410t,3674,0,0,0,0,0,True
43,408h–409t,507,0,0,0,0,0,True
44,407h–408t,1338,0,0,0,0,0,True
45,403h–404t,561,0,0,0,0,0,True
46,402h–403t,550,0,0,0,0,0,True
47,400h–401t,1,0,0,0,0,1,True
48,39h–40t,789,0,0,0,0,0,True
49,399h–400t,2,0,0,0,0,0,True
50,398t–429h,1952,0,0,0,0,1,True
51,397h–429t,1121,0,0,0,0,1,True
52,38h–39t,2594,0,0,0,0,0,True
53,37h–38t,3141,0,0,0,0,0,True
54,373h–374t,97,0,0,0,0,1,True
55,36h–37t,1385,0,0,0,0,0,True
56,364h–365t,2340,0,0,0,0,0,True
57,363h–364t,7015,0,0,0,0,0,True
58,361h–362t,811,0,0,0,0,0,True
59,359h–361t,6686,0,0,0,0,0,True
60,350h–351t,106,0,0,0,0,0,True
61,34h–35t,1439,0,0,0,0,0,True
62,349h–350t,317,0,0,0,0,0,True
63,347h–348t,503,0,0,0,0,1,True
64,343h–344t,1399,0,0,0,0,0,True
65,341h–342t,9,0,0,0,0,0,True
66,330h–334t,7767,0,0,0,0,1,True
67,328h–330t,4763,0,0,0,0,0,True
68,325h–328t,1188,0,0,0,0,0,True
69,324h–325t,2218,0,0,0,0,0,True
70,323h–324t,1786,0,0,0,0,0,True
71,31h–32t,6656,0,0,0,0,0,True
72,318h–319t,1500,0,0,0,0,1,True
73,312h–313t,1704,0,0,0,0,0,True
74,311h–312t,51,0,0,0,0,0,True
75,30h–31t,1,0,0,0,0,0,True
76,307h–308t,1015,0,0,0,0,0,True
77,306h–307t,3556,0,0,0,0,0,True
78,305h–306t,3139,0,0,0,0,0,True
79,2h–4t,7096,0,0,0,0,1,True
80,298h–299t,1817,0,0,0,0,1,True
81,28h–30t,6805,0,0,0,0,1,True
82,27h–28t,1889,0,0,0,0,1,True
83,278h–279t,246,0,0,0,0,1,True
84,273h–274t,458,0,0,0,0,1,True
85,263h–264t,380,0,0,0,0,0,True
86,262h–263t,695,0,0,0,0,0,True
87,256h–257t,405,0,0,0,0,1,True
88,249h–250t,1616,0,0,0,0,1,True
89,239h–241t,1789,0,0,0,0,0,True
90,238h–239t,187,0,0,0,0,0,True
91,235h–236t,31,0,0,0,0,1,True
92,228h–229t,166,0,0,0,0,0,True
93,227h–228t,2076,0,0,0,0,0,True
