Genome,Length
STPN.0321.00034,2037269
STPN.0321.00033,2092122
STPN.0321.00027,2096423
STPN.0321.00028,2169270
STPN.0321.00045,2101608
STPN.0321.00048,2114173
STPN.0321.00046,2084323
STPN.0321.00047,2090792
STPN.0321.00087,2142098
STPN.0321.00085,2036843
STPN.0321.00086,2093293
STPN.0321.00013,2046573
STPN.0321.00043,2169550
STPN.0321.00089,2037230
STPN.0321.00019,2131442
STPN.0321.00038,2148476
STPN.0321.00088,2024465
STPN.0321.00059,2118599
STPN.0321.00037,2115360
STPN.0321.00049,2038617
STPN.0321.00084,2064141
STPN.0321.00030,2109624
STPN.0321.00055,2081486
STPN.0321.00067,2107762
STPN.0321.00044,2038121
STPN.0321.00054,1991784
STPN.0321.00056,2147654
STPN.0321.00060,2066149
STPN.0321.00051,2180123
STPN.0321.00065,2120693
STPN.0321.00031,2096231
STPN.0321.00061,2074861
STPN.0321.00064,2026174
STPN.0321.00042,2079162
STPN.0321.00032,2038006
STPN.0321.00095,2143685
STPN.0321.00026,2200529
STPN.0321.00057,2120566
STPN.0321.00052,2141694
STPN.0321.00074,2046116
STPN.0321.00036,2125517
STPN.0321.00072,2038615
STPN.0321.00001,2141322
STPN.0321.00073,2240032
STPN.0321.00058,2097894
STPN.0321.00097,2073190
STPN.0321.00077,2184669
STPN.0321.00083,2130567
STPN.0321.00071,2163327
STPN.0321.00068,1986856
STPN.0321.00021,2168539
STPN.0321.00053,2124184
STPN.0321.00022,2104636
STPN.0321.00050,2121469
STPN.0321.00062,2121871
STPN.0321.00008,2071812
STPN.0321.00069,2074160
STPN.0321.00017,2093242
STPN.0321.00092,2131179
STPN.0321.00094,2150981
STPN.0321.00012,2219840
STPN.0321.00091,2129910
STPN.0321.00093,2150800
STPN.0321.00079,2111869
STPN.0321.00003,2114775
STPN.0321.00076,2245602
STPN.0321.00078,2120221
STPN.0321.00075,2112135
STPN.0321.00040,2221291
STPN.0321.00066,2066241
STPN.0321.00081,2209185
STPN.0321.00080,2078940
STPN.0321.00016,2073113
STPN.0321.00082,2088772
STPN.0321.00018,2109726
STPN.0321.00090,2026215
STPN.0321.00005,2089999
STPN.0321.00035,2046572
STPN.0321.00015,2039982
STPN.0321.00014,2156239
STPN.0321.00029,2114125
STPN.0321.00024,2157682
STPN.0321.00023,2058492
STPN.0321.00025,2122740
STPN.0321.00010,2180605
STPN.0321.00020,2145502
STPN.0321.00070,2160829
STPN.0321.00006,2110964
STPN.0321.00041,2045062
STPN.0321.00004,2287750
STPN.0321.00063,2202346
STPN.0321.00007,2140016
STPN.0321.00039,2057131
STPN.0321.00011,2134668
STPN.0321.00002,2206644
STPN.0321.00009,1983394
