orf_name,sim_pp1,family,orf_L,orf_R,orf_bp,aas,ori
Gen_e42edad5_67_00016,100% IS1N_aa2,IS1,16080,15865,216,71,-
Gen_e42edad5_67_00017,100% IS1N_aa1,IS1,16558,16286,273,90,-
Gen_e42edad5_67_00021,100% IS1N_aa1,IS1,19712,19984,273,90,+
Gen_e42edad5_67_00022,100% IS1N_aa2,IS1,20011,20406,396,131,+
Gen_e42edad5_67_00041,70.58% ISPlu15_aa1,ISNCY ssgr ISPlu15,37762,38562,801,266,+
Gen_e42edad5_67_00085,100% IS1N_aa2,IS1,84332,83937,396,131,-
Gen_e42edad5_67_00086,100% IS1N_aa1,IS1,84631,84359,273,90,-
Gen_e42edad5_67_00108,100% IS1N_aa1,IS1,104462,104734,273,90,+
Gen_e42edad5_67_00109,100% IS1N_aa2,IS1,104941,105156,216,71,+
Gen_e42edad5_67_00155,100% IS1N_aa2,IS1,153016,152621,396,131,-
Gen_e42edad5_67_00156,100% IS1N_aa1,IS1,153315,153043,273,90,-
Gen_e42edad5_67_00162,98.88% IS1N_aa1,IS1,156818,157090,273,90,+
Gen_e42edad5_67_00163,100% IS1N_aa2,IS1,157117,157512,396,131,+
Gen_e42edad5_67_00185,100% IS1N_aa1,IS1,180498,180770,273,90,+
Gen_e42edad5_67_00186,100% IS1N_aa2,IS1,180797,181192,396,131,+
Gen_e42edad5_67_00250,98.59% IS1N_aa2,IS1,239765,239550,216,71,-
Gen_e42edad5_67_00251,100% IS1N_aa1,IS1,240243,239971,273,90,-
Gen_e42edad5_67_00253,97.77% IS1N_aa1,IS1,241442,241714,273,90,+
Gen_e42edad5_67_00254,100% IS1N_aa2,IS1,241741,242136,396,131,+
Gen_e42edad5_67_00255,99.33% ISEc39_aa1,IS256,242153,242605,453,150,+
Gen_e42edad5_67_00256,99.59% ISEc39_aa1,IS256,242618,243361,744,247,+
Gen_e42edad5_67_00268,100% IS1N_aa1,IS1,252117,252389,273,90,+
Gen_e42edad5_67_00269,100% IS1N_aa2,IS1,252416,252811,396,131,+
Gen_e42edad5_67_00273,100% IS1N_aa2,IS1,255048,254653,396,131,-
Gen_e42edad5_67_00274,100% IS1N_aa1,IS1,255347,255075,273,90,-
Gen_e42edad5_67_00276,100% IS1N_aa2,IS1,256001,256396,396,131,+
Gen_e42edad5_67_00298,99.63% ISSd1_aa2,IS3 ssgr IS3,277532,276714,819,272,-
Gen_e42edad5_67_00299,99% ISSfl10_aa1,IS3 ssgr IS3,277870,277568,303,100,-
Gen_e42edad5_67_00305,99.01% IS1N_aa2,IS1,281491,281087,405,134,-
Gen_e42edad5_67_00306,100% IS1N_aa1,IS1,281782,281510,273,90,-
Gen_e42edad5_67_00317,100% IS1N_aa2,IS1,294668,294273,396,131,-
Gen_e42edad5_67_00318,100% IS1N_aa1,IS1,294967,294695,273,90,-
Gen_e42edad5_67_00328,100% IS1N_aa1,IS1,304526,304798,273,90,+
Gen_e42edad5_67_00329,99.23% IS1N_aa2,IS1,304825,305220,396,131,+
Gen_e42edad5_67_00331,97.70% IS1N_aa2,IS1,306017,305622,396,131,-
Gen_e42edad5_67_00332,100% IS1N_aa1,IS1,306316,306044,273,90,-
Gen_e42edad5_67_00349,98.88% IS1N_aa1,IS1,320045,320317,273,90,+
Gen_e42edad5_67_00350,97.18% IS1N_aa2,IS1,320526,320741,216,71,+
Gen_e42edad5_67_00358,98.86% IS4_aa1,IS4 ssgr IS4,329745,328417,1329,442,-
Gen_e42edad5_67_00362,100% IS1N_aa1,IS1,334312,334584,273,90,+
Gen_e42edad5_67_00363,98.47% IS1N_aa2,IS1,334611,335006,396,131,+
Gen_e42edad5_67_00368,100% IS1N_aa2,IS1,338644,338249,396,131,-
Gen_e42edad5_67_00369,100% IS1N_aa1,IS1,338943,338671,273,90,-
Gen_e42edad5_67_00371,100% ISEc27_aa1,IS3 ssgr IS2,340068,340433,366,121,+
Gen_e42edad5_67_00372,99.66% IS2_aa2,IS3 ssgr IS2,340391,341296,906,301,+
Gen_e42edad5_67_00375,100% IS1N_aa2,IS1,342028,342243,216,71,+
Gen_e42edad5_67_00383,98.89% ISSd1_aa2,IS3 ssgr IS3,348087,347269,819,272,-
Gen_e42edad5_67_00387,98.88% IS1N_aa1,IS1,350377,350649,273,90,+
Gen_e42edad5_67_00388,99.23% IS1N_aa2,IS1,350676,351071,396,131,+
Gen_e42edad5_67_00390,100% IS1N_aa2,IS1,351891,351496,396,131,-
Gen_e42edad5_67_00391,98.88% IS1N_aa1,IS1,352190,351918,273,90,-
Gen_e42edad5_67_00400,100% IS1N_aa1,IS1,358871,359143,273,90,+
Gen_e42edad5_67_00401,98.47% IS1N_aa2,IS1,359170,359565,396,131,+
Gen_e42edad5_67_00405,100% IS1N_aa1,IS1,361181,361453,273,90,+
Gen_e42edad5_67_00406,99.23% IS1N_aa2,IS1,361480,361875,396,131,+
Gen_e42edad5_67_00411,99% ISSfl10_aa1,IS3 ssgr IS3,366880,367182,303,100,+
Gen_e42edad5_67_00412,98.89% ISSd1_aa2,IS3 ssgr IS3,367218,368036,819,272,+
Gen_e42edad5_67_00430,90.16% ISErsp1_aa1,IS481,384820,385191,372,123,+
Gen_e42edad5_67_00444,100% IS1N_aa2,IS1,396165,395950,216,71,-
Gen_e42edad5_67_00445,100% IS1N_aa1,IS1,396353,396625,273,90,+
Gen_e42edad5_67_00446,99.23% IS1N_aa2,IS1,396652,397047,396,131,+
Gen_e42edad5_67_00458,98.88% IS1N_aa1,IS1,415932,416204,273,90,+
Gen_e42edad5_67_00459,100% IS1N_aa2,IS1,416231,416626,396,131,+
Gen_e42edad5_67_00472,98.19% IS4_aa1,IS4 ssgr IS4,429037,427709,1329,442,-
Gen_e42edad5_67_00497,100% ISEc27_aa1,IS3 ssgr IS2,455017,455382,366,121,+
Gen_e42edad5_67_00498,99.66% IS2_aa2,IS3 ssgr IS2,455340,456245,906,301,+
Gen_e42edad5_67_00501,100% IS911_aa1,IS3 ssgr IS3,457321,457623,303,100,+
Gen_e42edad5_67_00503,99.37% IS911_aa2,IS3 ssgr IS3,457987,458490,504,167,+
Gen_e42edad5_67_00504,100% IS1N_aa1,IS1,458669,458941,273,90,+
Gen_e42edad5_67_00505,100% IS1N_aa2,IS1,458968,459363,396,131,+
