id,vertex1,vertex2,mean_break_length_nucleotide,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,parallel_breakpoint_score,parallel_breakpoint_count,tree_consistent
1,85h,86t,35573,0,0,0,0.0027126200000000002,3,False
2,8h,9t,487,0,0,0,0.00099555,2,False
3,6h,7t,6363,0,0,0,0.00099555,2,False
4,48h,49t,15613,0,0,0,0.00027471,2,False
5,86h,87t,7429,0,0,0,0.00025863,2,False
6,72h,73t,26557,0,0,0,0.00025863,2,False
7,40h,41t,6353,0,0,0,0.00025863,2,False
8,18h,19t,3422,0,0,0,0.00025863,2,False
9,84h,85t,4234,0,0,0,0,1,True
10,83h,84t,7371,0,0,0,0,1,True
11,74h,75t,3362,0,0,0,0,1,True
12,71h,72t,17044,0,0,0,0,1,True
13,66h,67t,4216,0,0,0,0,1,True
14,63h,64t,2664,0,0,0,0,0,True
15,58h,62t,36156,0,0,0,0,0,True
16,57h,58t,1,0,0,0,0,0,True
17,56h,57t,4970,0,0,0,0,0,True
18,55h,56t,7377,0,0,0,0,0,True
19,53h,54t,7346,0,0,0,0,0,True
20,52h,53t,1,0,0,0,0,1,True
21,47h,48t,4118,0,0,0,0,1,True
22,46h,47t,8869,0,0,0,0,1,True
23,42h,43t,5771,0,0,0,0,1,True
24,37h,38t,11933,0,0,0,0,1,True
25,36h,37t,2085,0,0,0,0,1,True
26,34h,35t,240,0,0,0,0,1,True
27,2h,3t,1,0,0,0,0,1,True
28,27h,28t,8131,0,0,0,0,1,True
29,14h,15t,1324,0,0,0,0,1,True
30,113h,1t,6889,0,0,0,0,1,True
31,112h,113t,1295,0,0,0,0,1,True
32,111h,112t,3314,0,0,0,0,1,True
33,110h,111t,10781,0,0,0,0,1,True
34,10h,11t,62,0,0,0,0,1,True
35,109h,110t,948,0,0,0,0,1,True
36,103h,104t,3400,0,0,0,0,1,True
37,101h,102t,8691,0,0,0,0,1,True
38,100t,98h,6351,0,0,0,0,1,True
39,100h,101t,1,0,0,0,0,1,True
