assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000743015.1	PRJNA224116	SAMN02905033			na		1314	1314	Streptococcus pyogenes	strain=ATCC 19615		latest	Complete Genome	Major	Full	2014/08/22	ASM74301v1	Los Alamos National Laboratory	GCA_000743015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/015/GCF_000743015.1_ASM74301v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000743015.1/GCF_000743015.1_ASM74301v1_genomic.fna.gz
GCF_000756485.1	PRJNA224116	SAMN02800743			na		1314	1314	Streptococcus pyogenes	strain=M23ND		latest	Complete Genome	Major	Full	2014/09/22	ASM75648v1	University of Notre Dame	GCA_000756485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/485/GCF_000756485.1_ASM75648v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000756485.1/GCF_000756485.1_ASM75648v1_genomic.fna.gz
GCF_000767505.1	PRJNA224116	SAMN02644974			na		1314	1314	Streptococcus pyogenes	strain=7F7		latest	Complete Genome	Major	Full	2014/10/20	ASM76750v1	University Rennes1	GCA_000767505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/505/GCF_000767505.1_ASM76750v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000767505.1/GCF_000767505.1_ASM76750v1_genomic.fna.gz
GCF_000772185.1	PRJNA224116	SAMN02980885			na		1314	1314	Streptococcus pyogenes	strain=HKU360		latest	Complete Genome	Major	Full	2014/11/05	ASM77218v1	University of Queensland	GCA_000772185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/185/GCF_000772185.1_ASM77218v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000772185.1/GCF_000772185.1_ASM77218v1_genomic.fna.gz
GCF_000772245.1	PRJNA224116	SAMN02649402			na		1314	1314	Streptococcus pyogenes	strain=1E1		latest	Complete Genome	Major	Full	2014/11/05	ASM77224v1	University Rennes1	GCA_000772245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/245/GCF_000772245.1_ASM77224v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000772245.1/GCF_000772245.1_ASM77224v1_genomic.fna.gz
GCF_000993765.1	PRJNA224116	SAMN02716635			na		1314	1314	Streptococcus pyogenes	strain=AP1		latest	Complete Genome	Major	Full	2015/05/07	ASM99376v1	COMBACTE	GCA_000993765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/993/765/GCF_000993765.1_ASM99376v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000993765.1/GCF_000993765.1_ASM99376v1_genomic.fna.gz
GCF_001014305.1	PRJNA224116	SAMN03610015			na		1314	1314	Streptococcus pyogenes	strain=D471		latest	Complete Genome	Major	Full	2015/05/28	ASM101430v1	Washington University School of Medicine	GCA_001014305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/014/305/GCF_001014305.1_ASM101430v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001014305.1/GCF_001014305.1_ASM101430v1_genomic.fna.gz
GCF_001019635.1	PRJNA224116	SAMN02715744			na		1314	1314	Streptococcus pyogenes	strain=NGAS743		latest	Complete Genome	Major	Full	2015/06/03	ASM101963v1	Public Health Ontario	GCA_001019635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/635/GCF_001019635.1_ASM101963v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001019635.1/GCF_001019635.1_ASM101963v1_genomic.fna.gz
GCF_001019675.1	PRJNA224116	SAMN02715758			na		1314	1314	Streptococcus pyogenes	strain=NGAS596		latest	Complete Genome	Major	Full	2015/06/03	ASM101967v1	Public Health Ontario	GCA_001019675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/675/GCF_001019675.1_ASM101967v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001019675.1/GCF_001019675.1_ASM101967v1_genomic.fna.gz
GCF_001019695.1	PRJNA224116	SAMN02715759			na		1314	1314	Streptococcus pyogenes	strain=NGAS327		latest	Complete Genome	Major	Full	2015/06/03	ASM101969v1	Public Health Ontario	GCA_001019695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/695/GCF_001019695.1_ASM101969v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001019695.1/GCF_001019695.1_ASM101969v1_genomic.fna.gz
GCF_001020185.2	PRJNA224116	SAMN03733610			na		1314	1314	Streptococcus pyogenes	strain=M28PF1		latest	Complete Genome	Major	Full	2016/07/05	ASM102018v2	INSERM	GCA_001020185.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/020/185/GCF_001020185.2_ASM102018v2	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001020185.2/GCF_001020185.2_ASM102018v2_genomic.fna.gz
GCF_001021955.1	PRJNA224116	SAMN02866032			na		1314	1314	Streptococcus pyogenes	strain=5448		latest	Complete Genome	Major	Full	2015/06/08	ASM102195v1	Helmholtz Centre for Infection Research	GCA_001021955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/955/GCF_001021955.1_ASM102195v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001021955.1/GCF_001021955.1_ASM102195v1_genomic.fna.gz
GCF_001023495.1	PRJNA224116	SAMN03418291			na		1314	1314	Streptococcus pyogenes	strain=STAB10015		latest	Complete Genome	Major	Full	2015/06/09	ASM102349v1	Universite de Rennes 1	GCA_001023495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/023/495/GCF_001023495.1_ASM102349v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001023495.1/GCF_001023495.1_ASM102349v1_genomic.fna.gz
GCF_001039695.1	PRJNA224116	SAMEA3865279			na		1314	1314	Streptococcus pyogenes	strain=H293		latest	Complete Genome	Major	Full	2015/06/20	emm89-1	ICL-CFB	GCA_001039695.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/695/GCF_001039695.1_emm89-1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001039695.1/GCF_001039695.1_emm89-1_genomic.fna.gz
GCF_001051095.1	PRJNA224116	SAMN03846812			na		1314	1314	Streptococcus pyogenes	strain=HKU488		latest	Complete Genome	Major	Full	2015/07/09	ASM105109v1	University of Queensland	GCA_001051095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/095/GCF_001051095.1_ASM105109v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001051095.1/GCF_001051095.1_ASM105109v1_genomic.fna.gz
GCF_001267805.1	PRJNA224116	SAMN03274509			na		1314	1314	Streptococcus pyogenes	strain=NGAS322		latest	Complete Genome	Major	Full	2015/08/17	ASM126780v1	Public Health Ontario	GCA_001267805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/267/805/GCF_001267805.1_ASM126780v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001267805.1/GCF_001267805.1_ASM126780v1_genomic.fna.gz
GCF_001267845.1	PRJNA224116	SAMN03274510			representative genome		1314	1314	Streptococcus pyogenes	strain=NGAS638		latest	Complete Genome	Major	Full	2015/08/17	ASM126784v1	Public Health Ontario	GCA_001267845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/267/845/GCF_001267845.1_ASM126784v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001267845.1/GCF_001267845.1_ASM126784v1_genomic.fna.gz
GCF_001535565.1	PRJNA224116	SAMN04419117			na		1314	1314	Streptococcus pyogenes	strain=MEW123		latest	Complete Genome	Major	Full	2016/01/25	ASM153556v1	University of Michigan	GCA_001535565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/535/565/GCF_001535565.1_ASM153556v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001535565.1/GCF_001535565.1_ASM153556v1_genomic.fna.gz
GCF_001547835.1	PRJNA224116	SAMD00000332			na		1314	1314	Streptococcus pyogenes	strain=MTB314		latest	Complete Genome	Major	Full	2015/02/24	ASM154783v1	Kitasato Institute of Life Sciences	GCA_001547835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/835/GCF_001547835.1_ASM154783v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001547835.1/GCF_001547835.1_ASM154783v1_genomic.fna.gz
GCF_001559175.2	PRJNA224116	SAMN03996295			na		1314	1314	Streptococcus pyogenes	strain=FDAARGOS_149		latest	Complete Genome	Major	Full	2018/02/05	ASM155917v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001559175.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/175/GCF_001559175.2_ASM155917v2	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001559175.2/GCF_001559175.2_ASM155917v2_genomic.fna.gz
GCF_001620285.1	PRJNA224116	SAMN04334485			na		1314	1314	Streptococcus pyogenes	strain=AP53		latest	Complete Genome	Major	Full	2016/04/18	ASM162028v1	University of Notre Dame	GCA_001620285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/620/285/GCF_001620285.1_ASM162028v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001620285.1/GCF_001620285.1_ASM162028v1_genomic.fna.gz
GCF_001635895.1	PRJNA224116	SAMN03792044			na		1314	1314	Streptococcus pyogenes	strain=MGAS11027		latest	Complete Genome	Major	Full	2016/05/02	ASM163589v1	The Methodist Hospital Research Institute	GCA_001635895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/635/895/GCF_001635895.1_ASM163589v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001635895.1/GCF_001635895.1_ASM163589v1_genomic.fna.gz
GCF_001635935.1	PRJNA224116	SAMN03775331			na		1314	1314	Streptococcus pyogenes	strain=MGAS23530		latest	Complete Genome	Major	Full	2016/05/02	ASM163593v1	Houston Methodist Research Institute	GCA_001635935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/635/935/GCF_001635935.1_ASM163593v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001635935.1/GCF_001635935.1_ASM163593v1_genomic.fna.gz
GCF_001635975.1	PRJNA224116	SAMN03161558			na		1314	1314	Streptococcus pyogenes	strain=MGAS27061		latest	Complete Genome	Major	Full	2016/05/02	ASM163597v1	Houston Methodist Research Institute	GCA_001635975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/635/975/GCF_001635975.1_ASM163597v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001635975.1/GCF_001635975.1_ASM163597v1_genomic.fna.gz
GCF_001638845.2	PRJNA224116	SAMN04625972			na		1314	1314	Streptococcus pyogenes	strain=NS53		latest	Complete Genome	Minor	Full	2017/01/24	ASM163884v2	University of Notre Dame	GCA_001638845.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/638/845/GCF_001638845.2_ASM163884v2	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001638845.2/GCF_001638845.2_ASM163884v2_genomic.fna.gz
GCF_001640945.2	PRJNA224116	SAMN04456596			na		1314	1314	Streptococcus pyogenes	strain=STAB13021		latest	Chromosome	Minor	Full	2016/07/28	ASM164094v2	university of rennes1	GCA_001640945.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/945/GCF_001640945.2_ASM164094v2	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001640945.2/GCF_001640945.2_ASM164094v2_genomic.fna.gz
GCF_001678885.1	PRJNA224116	SAMN03418290			na		1314	1314	Streptococcus pyogenes	strain=STAB09014		latest	Complete Genome	Major	Full	2016/07/05	ASM167888v1	Universite de Rennes 1	GCA_001678885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/885/GCF_001678885.1_ASM167888v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001678885.1/GCF_001678885.1_ASM167888v1_genomic.fna.gz
GCF_002055535.1	PRJNA224116	SAMEA2479569			na	assembly from type material	1314	1314	Streptococcus pyogenes	strain=NCTC8198		latest	Complete Genome	Major	Full	2015/03/22	NCTC8198	SC	GCA_002055535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/535/GCF_002055535.1_NCTC8198	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002055535.1/GCF_002055535.1_NCTC8198_genomic.fna.gz
GCF_002163545.1	PRJNA224116	SAMN04500791			na		1314	1314	Streptococcus pyogenes	strain=STAB14018		latest	Complete Genome	Major	Full	2017/06/02	ASM216354v1	university of rennes1	GCA_002163545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/163/545/GCF_002163545.1_ASM216354v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002163545.1/GCF_002163545.1_ASM216354v1_genomic.fna.gz
GCF_002236855.1	PRJNA224116	SAMN06435541			na		1314	1314	Streptococcus pyogenes	strain=GURSA1		latest	Complete Genome	Major	Full	2017/07/28	ASM223685v1	University of Copenhagen	GCA_002236855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/236/855/GCF_002236855.1_ASM223685v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002236855.1/GCF_002236855.1_ASM223685v1_genomic.fna.gz
GCF_002236875.1	PRJNA224116	SAMN06434935			na		1314	1314	Streptococcus pyogenes	strain=GUR		latest	Complete Genome	Major	Full	2017/07/28	ASM223687v1	University of Copenhagen	GCA_002236875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/236/875/GCF_002236875.1_ASM223687v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002236875.1/GCF_002236875.1_ASM223687v1_genomic.fna.gz
GCF_002238295.1	PRJNA224116	SAMN06473357			na		1314	1314	Streptococcus pyogenes	strain=STAB090229		latest	Complete Genome	Major	Full	2017/08/01	ASM223829v1	university of rennes1	GCA_002238295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/238/295/GCF_002238295.1_ASM223829v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002238295.1/GCF_002238295.1_ASM223829v1_genomic.fna.gz
GCF_002238315.1	PRJNA224116	SAMN06554460			na		1314	1314	Streptococcus pyogenes	strain=STAB120304		latest	Complete Genome	Major	Full	2017/08/01	ASM223831v1	university of rennes1	GCA_002238315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/238/315/GCF_002238315.1_ASM223831v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002238315.1/GCF_002238315.1_ASM223831v1_genomic.fna.gz
GCF_002355175.1	PRJNA224116	SAMD00000355			na		1314	1314	Streptococcus pyogenes	strain=M3-b		latest	Complete Genome	Major	Full	2016/02/26	ASM235517v1	National Center for Global Health and Medicine	GCA_002355175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/175/GCF_002355175.1_ASM235517v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002355175.1/GCF_002355175.1_ASM235517v1_genomic.fna.gz
GCF_002355815.1	PRJNA224116	SAMD00057778			na		1314	1314	Streptococcus pyogenes	strain=JMUB1235		latest	Complete Genome	Major	Full	2016/08/26	ASM235581v1	Division of Bacteriology, Department of Infection and Immunity, School of Medicine, Jichi Medical University	GCA_002355815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/815/GCF_002355815.1_ASM235581v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002355815.1/GCF_002355815.1_ASM235581v1_genomic.fna.gz
GCF_002557755.1	PRJNA224116	SAMN07757765			na		1314	1314	Streptococcus pyogenes	strain=HarveyGAS		latest	Complete Genome	Major	Full	2017/10/16	ASM255775v1	Houston Methodist Hospital	GCA_002557755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/557/755/GCF_002557755.1_ASM255775v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002557755.1/GCF_002557755.1_ASM255775v1_genomic.fna.gz
GCF_002844355.1	PRJNA224116	SAMN07174848			na		1314	1314	Streptococcus pyogenes	strain=JS12		latest	Complete Genome	Major	Full	2017/12/18	ASM284435v1	National University of Singapore and Genome Institute of Singapore	GCA_002844355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/844/355/GCF_002844355.1_ASM284435v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002844355.1/GCF_002844355.1_ASM284435v1_genomic.fna.gz
GCF_003025365.1	PRJNA224116	SAMN08793275			na		1314	1314	Streptococcus pyogenes	strain=TJ11-001		latest	Complete Genome	Major	Full	2018/03/30	ASM302536v1	National Institute for Communicable Disease Control and Prevention, China CDC	GCA_003025365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/025/365/GCF_003025365.1_ASM302536v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003025365.1/GCF_003025365.1_ASM302536v1_genomic.fna.gz
GCF_003203475.1	PRJNA224116	SAMN08569881			na		1314	1314	Streptococcus pyogenes	strain=NGAS979		latest	Complete Genome	Major	Full	2018/06/08	ASM320347v1	Public Health Ontario	GCA_003203475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/203/475/GCF_003203475.1_ASM320347v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003203475.1/GCF_003203475.1_ASM320347v1_genomic.fna.gz
GCF_003352145.1	PRJNA224116	SAMN08714459			na		1314	1314	Streptococcus pyogenes	strain=DMG1800716		latest	Complete Genome	Major	Full	2018/08/01	ASM335214v1	University of Melbourne	GCA_003352145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/352/145/GCF_003352145.1_ASM335214v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003352145.1/GCF_003352145.1_ASM335214v1_genomic.fna.gz
GCF_003609955.1	PRJNA224116	SAMD00084336			na		1314	1314	Streptococcus pyogenes	strain=KS030		latest	Complete Genome	Major	Full	2017/12/14	ASM360995v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCA_003609955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/609/955/GCF_003609955.1_ASM360995v1	./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_003609955.1/GCF_003609955.1_ASM360995v1_genomic.fna.gz
