strain,character_state,character_state_annotation
CP020889,1,parallel edge doesn't exist
AE008923,0,edge exists
CP008992,0,edge exists
CP009025,0,edge exists
CP008989,0,edge exists
CP018847,0,edge exists
CP009016,0,edge exists
CP009013,0,edge exists
LN606820,0,edge exists
CP011827,0,edge exists
CP006857,0,edge exists
CP009022,0,edge exists
CP009040,3,inversion between 54h-55t and 66h-71t
CP018854,0,edge exists
CP018858,0,edge exists
CP008998,0,edge exists
CP003778,3,inversion between 54h-55t and 66h-71t
CM007619,0,edge exists
CP008995,0,edge exists
CP009037,3,inversion between 54h-55t and 66h-71t
CP009004,0,edge exists
CP009034,3,inversion between 54h-55t and 66h-71t
CP009007,0,edge exists
CM007622,0,edge exists
CP009001,0,edge exists
CP020882,1,parallel edge doesn't exist
CP009019,0,edge exists
LN590509,0,edge exists
CP018850,0,edge exists
CP009031,3,inversion between 54h-55t and 66h-71t
CP009028,0,edge exists
CP023285,0,edge exists
CP020885,1,parallel edge doesn't exist
CP009010,0,edge exists
