strain,character_state,character_state_annotation
BUMA.0521.00027,0,adjacency exists
BUMA.0521.00012,3,inversion between 561h-685h and 562t-689t
BUMA.0521.00007,1,complex break of adjacency
BUMA.0521.00024,4,inversion between 561h-685h and 895h-896t
BUMA.0521.00029,5,inversion between 561h-685h and 587t-586h
BUMA.0521.00019,0,adjacency exists
BUMA.0521.00015,0,adjacency exists
BUMA.0521.00013,6,inversion between 561h-685h and 587t-613h
BUMA.0521.00021,0,adjacency exists
BUMA.0521.00003,5,inversion between 561h-685h and 587t-586h
BUMA.0521.00026,0,adjacency exists
BUMA.0521.00031,5,inversion between 561h-685h and 587t-586h
BUMA.0521.00022,0,adjacency exists
BUMA.0521.00020,0,adjacency exists
BUMA.0521.00006,0,adjacency exists
BUMA.0521.00009,0,adjacency exists
BUMA.0521.00032,7,inversion between 561h-685h and 721t-508t
BUMA.0521.00002,5,inversion between 561h-685h and 587t-586h
BUMA.0521.00005,0,adjacency exists
BUMA.0521.00017,7,inversion between 561h-685h and 721t-508t
BUMA.0521.00011,0,adjacency exists
BUMA.0521.00023,0,adjacency exists
BUMA.0521.00030,0,adjacency exists
BUMA.0521.00014,0,adjacency exists
BUMA.0521.00010,5,inversion between 561h-685h and 587t-586h
BUMA.0521.00004,1,complex break of adjacency
BUMA.0521.00025,5,inversion between 561h-685h and 587t-586h
BUMA.0521.00028,0,adjacency exists
BUMA.0521.00001,5,inversion between 561h-685h and 587t-586h
BUMA.0521.00016,0,adjacency exists
BUMA.0521.00008,3,inversion between 561h-685h and 562t-689t
BUMA.0521.00018,5,inversion between 561h-685h and 587t-586h
