orf_name,sim_pp1,family,orf_L,orf_R,orf_bp,aas,ori
Gen_e7ad1d51_21_00048,98.83% IS4_aa1,IS4 ssgr IS4,50258,49743,516,171,-
Gen_e7ad1d51_21_00049,100% IS4_aa1,IS4 ssgr IS4,51070,50255,816,271,-
Gen_e7ad1d51_21_00066,99.27% IS4_aa1,IS4 ssgr IS4,72723,71890,834,277,-
Gen_e7ad1d51_21_00067,96.81% IS4_aa1,IS4 ssgr IS4,73217,72702,516,171,-
Gen_e7ad1d51_21_00107,99.63% IS600_aa3,IS3 ssgr IS3,116872,116054,819,272,-
Gen_e7ad1d51_21_00108,100% ISSfl10_aa1,IS3 ssgr IS3,117210,116908,303,100,-
Gen_e7ad1d51_21_00162,99.63% IS600_aa3,IS3 ssgr IS3,168804,167986,819,272,-
Gen_e7ad1d51_21_00163,100% ISSfl10_aa1,IS3 ssgr IS3,169142,168840,303,100,-
Gen_e7ad1d51_21_00204,99.54% IS4_aa1,IS4 ssgr IS4,214132,215460,1329,442,+
Gen_e7ad1d51_21_00244,100% ISSfl10_aa1,IS3 ssgr IS3,253431,253733,303,100,+
Gen_e7ad1d51_21_00245,99.63% IS600_aa3,IS3 ssgr IS3,253769,254587,819,272,+
Gen_e7ad1d51_21_00252,0% newcandidate,New_Family,262594,262463,132,44,-
Gen_e7ad1d51_21_00265,99.16% ISEc27_aa1,IS3 ssgr IS2,271220,271651,432,143,+
Gen_e7ad1d51_21_00266,100% IS2_aa2,IS3 ssgr IS2,271656,272447,792,263,+
Gen_e7ad1d51_21_00268,98.99% ISEc20_aa1,IS110,272894,274090,1197,398,+
Gen_e7ad1d51_21_00269,99% IS911_aa1,IS3 ssgr IS3,274727,275029,303,100,+
Gen_e7ad1d51_21_00270,99.04% IS911_aa2,IS3 ssgr IS3,275242,275895,654,217,+
Gen_e7ad1d51_21_00271,93.85% ISSd1_aa3,IS3 ssgr IS3,276207,275830,378,125,-
Gen_e7ad1d51_21_00272,100% ISSfl10_aa1,IS3 ssgr IS3,276545,276243,303,100,-
Gen_e7ad1d51_21_00278,99.63% IS600_aa3,IS3 ssgr IS3,279142,278324,819,272,-
Gen_e7ad1d51_21_00279,100% ISSfl10_aa1,IS3 ssgr IS3,279480,279178,303,100,-
Gen_e7ad1d51_21_00280,48.60% ISCsa9_aa2,IS21,280228,280974,747,248,+
Gen_e7ad1d51_21_00287,99.63% IS600_aa3,IS3 ssgr IS3,284786,283968,819,272,-
Gen_e7ad1d51_21_00288,100% IS600_aa1,IS3 ssgr IS3,285124,284822,303,100,-
Gen_e7ad1d51_21_00304,56.68% TnShfr1_aa1,Tn3,298741,299682,942,313,+
Gen_e7ad1d51_21_00307,100% IS21_aa2,IS21,301458,300661,798,265,-
Gen_e7ad1d51_21_00308,99.23% IS21_aa1,IS21,302630,301458,1173,390,-
Gen_e7ad1d51_21_00357,100% ISSso4_aa2,IS21,352084,351329,756,251,-
Gen_e7ad1d51_21_00358,99.41% ISSso4_aa1,IS21,353636,352101,1536,511,-
Gen_e7ad1d51_21_00427,99.54% IS4_aa1,IS4 ssgr IS4,425134,426462,1329,442,+
Gen_e7ad1d51_21_00454,100% IS1S_aa2,IS1,449137,448634,504,167,-
Gen_e7ad1d51_21_00503,100% IS2_aa2,IS3 ssgr IS2,507909,507004,906,301,-
Gen_e7ad1d51_21_00504,100% ISEc27_aa1,IS3 ssgr IS2,508232,507867,366,121,-
Gen_e7ad1d51_21_00549,100% IS600_aa1,IS3 ssgr IS3,548679,548981,303,100,+
Gen_e7ad1d51_21_00550,99.63% IS600_aa3,IS3 ssgr IS3,549017,549835,819,272,+
Gen_e7ad1d51_21_00588,97.14% IS600_aa2,IS3 ssgr IS3,589605,589339,267,88,-
Gen_e7ad1d51_21_00589,99.23% IS21_aa1,IS21,589646,590818,1173,390,+
Gen_e7ad1d51_21_00590,100% IS21_aa2,IS21,590818,591615,798,265,+
Gen_e7ad1d51_21_00591,98.57% ISSd1_aa3,IS3 ssgr IS3,592291,591575,717,238,-
Gen_e7ad1d51_21_00592,100% ISSfl10_aa1,IS3 ssgr IS3,592629,592327,303,100,-
Gen_e7ad1d51_21_00649,99.32% IS4_aa1,IS4 ssgr IS4,653517,652189,1329,442,-
Gen_e7ad1d51_21_00675,100% ISEc27_aa1,IS3 ssgr IS2,676434,676799,366,121,+
Gen_e7ad1d51_21_00676,100% IS2_aa2,IS3 ssgr IS2,676757,677662,906,301,+
Gen_e7ad1d51_21_00691,100% ISSfl10_aa1,IS3 ssgr IS3,689621,689923,303,100,+
Gen_e7ad1d51_21_00692,99.63% IS600_aa3,IS3 ssgr IS3,689959,690777,819,272,+
Gen_e7ad1d51_21_00693,100% ISEc27_aa1,IS3 ssgr IS2,690789,691187,399,132,+
Gen_e7ad1d51_21_00694,100% IS2_aa2,IS3 ssgr IS2,691145,692050,906,301,+
Gen_e7ad1d51_21_00696,46.98% ISMpo10_aa2,Tn3,693933,693340,594,197,-
Gen_e7ad1d51_21_00712,99.26% IS600_aa3,IS3 ssgr IS3,711754,710936,819,272,-
Gen_e7ad1d51_21_00713,100% ISSfl10_aa1,IS3 ssgr IS3,712092,711790,303,100,-
Gen_e7ad1d51_21_00725,99.63% IS600_aa3,IS3 ssgr IS3,723496,722678,819,272,-
Gen_e7ad1d51_21_00726,100% IS600_aa1,IS3 ssgr IS3,723834,723532,303,100,-
Gen_e7ad1d51_21_00729,100% IS630_aa1,IS630,726942,725911,1032,343,-
Gen_e7ad1d51_21_00730,100% IS600_aa1,IS3 ssgr IS3,727694,727996,303,100,+
Gen_e7ad1d51_21_00731,99.63% IS600_aa3,IS3 ssgr IS3,728032,728850,819,272,+
Gen_e7ad1d51_21_00743,98.99% ISEc20_aa1,IS110,740031,741227,1197,398,+
Gen_e7ad1d51_21_00760,99.20% ISEc1_aa1,ISAs1,757142,756006,1137,378,-
Gen_e7ad1d51_21_00762,99.64% ISEc1_aa1,ISAs1,759293,758436,858,285,-
