orf_name,sim_pp1,family,orf_L,orf_R,orf_bp,aas,ori
Gen_e42edad5_17_00007,99.40% IS1X2_aa2,IS1,6962,7465,504,167,+
Gen_e42edad5_17_00013,98.80% IS1X2_aa2,IS1,12859,12356,504,167,-
Gen_e42edad5_17_00020,100% IS1X2_aa2,IS1,20170,20673,504,167,+
Gen_e42edad5_17_00031,100% IS1X2_aa2,IS1,34697,34194,504,167,-
Gen_e42edad5_17_00061,99.40% IS1X2_aa2,IS1,72033,72536,504,167,+
Gen_e42edad5_17_00092,100% IS1X2_aa2,IS1,105766,106269,504,167,+
Gen_e42edad5_17_00118,70.76% ISPlu15_aa1,ISNCY ssgr ISPlu15,135680,136633,954,317,+
Gen_e42edad5_17_00121,98.08% IS911_aa2,IS3 ssgr IS3,139442,138789,654,217,-
Gen_e42edad5_17_00122,98% IS911_aa1,IS3 ssgr IS3,139957,139655,303,100,-
Gen_e42edad5_17_00126,100% IS1X2_aa2,IS1,142291,141788,504,167,-
Gen_e42edad5_17_00129,100% IS1X2_aa2,IS1,143390,143893,504,167,+
Gen_e42edad5_17_00203,100% IS1X2_aa2,IS1,223942,224445,504,167,+
Gen_e42edad5_17_00207,100% IS1X2_aa2,IS1,228205,228708,504,167,+
Gen_e42edad5_17_00212,99.40% IS1X2_aa2,IS1,232449,231946,504,167,-
Gen_e42edad5_17_00218,100% IS1X2_aa2,IS1,237519,238022,504,167,+
Gen_e42edad5_17_00222,99.26% IS600_aa3,IS3 ssgr IS3,245005,244187,819,272,-
Gen_e42edad5_17_00223,99% IS911_aa1,IS3 ssgr IS3,245310,245612,303,100,+
Gen_e42edad5_17_00224,98.56% IS911_aa2,IS3 ssgr IS3,245825,246478,654,217,+
Gen_e42edad5_17_00239,97.22% IS1203_aa1,IS3 ssgr IS51,256200,256526,327,108,+
Gen_e42edad5_17_00240,98.64% IS629_aa2,IS3 ssgr IS51,256526,257413,888,295,+
Gen_e42edad5_17_00241,93.40% ISEc23_aa3,IS66,257477,258004,528,175,+
Gen_e42edad5_17_00242,97.89% ISEc43_aa3,IS66,258074,259075,1002,333,+
Gen_e42edad5_17_00244,98.74% ISEc20_aa1,IS110,260653,259457,1197,398,-
Gen_e42edad5_17_00257,100% ISSd1_aa1,IS3 ssgr IS3,271747,272034,288,95,+
