id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,11h–20t,78334,0.23982225940000002,3,10,3.8494278853999995,15,False
2,146h–148t,17192,0.1433776954,1,3,0.24261080420000003,4,False
3,211h–212t,8596,0.106641269,1,5,0.6805418896000001,8,False
4,132h–133t,2989,0.0172282748,1,3,0.0172282748,3,False
5,126h–127t,260,0.0172282748,1,3,0.0172282748,3,False
6,155h–156t,5032,0.005407295,1,2,0.13851933140000003,3,False
7,63h–64t,1,0.0048181004,1,2,0.0048181004,2,False
8,58h–59t,1132,0.0048181004,1,2,0.0048181004,2,False
9,196h–197t,7370,0,0,0,0.8288053337999999,7,False
10,46h–47t,12699,0,0,0,0.06732104190000002,2,False
11,223h–227t,21429,0,0,0,0.0672651991,2,False
12,209h–210t,2027,0,0,0,0.0671313753,2,False
13,10t–9h,7868,0,0,0,0.06679430870000001,2,False
14,179h–187t,65676,0,0,0,0.056545921799999996,3,False
15,106h–109t,26520,0,0,0,0.0431491828,3,False
16,243h–244t,717,0,0,0,0.0143657331,2,False
17,236h–237t,3560,0,0,0,0.0143657331,2,False
18,244h–4t,26705,0,0,0,0.014095378799999999,2,False
19,104h–105t,1766,0,0,0,0.014095378799999999,2,False
20,102h–103t,1607,0,0,0,0.014095378799999999,2,False
21,157h–158t,2026,0,0,0,0.011575844499999998,2,False
22,193h–194t,16195,0,0,0,1.9782099999999998e-05,2,False
23,95h–96t,2341,0,0,0,0,0,True
24,94h–95t,81,0,0,0,0,1,True
25,93h–94t,1,0,0,0,0,1,True
26,92h–93t,26,0,0,0,0,1,True
27,91h–92t,1,0,0,0,0,1,True
28,89h–90t,2145,0,0,0,0,1,True
29,88h–89t,1,0,0,0,0,1,True
30,86h–87t,5396,0,0,0,0,1,True
31,81h–82t,4361,0,0,0,0,1,True
32,79h–80t,2603,0,0,0,0,1,True
33,78h–79t,2294,0,0,0,0,1,True
34,76h–77t,8313,0,0,0,0,1,True
35,75h–76t,330,0,0,0,0,1,True
36,74h–75t,6928,0,0,0,0,1,True
37,68h–69t,8795,0,0,0,0,1,True
38,67h–68t,1,0,0,0,0,1,True
39,65h–66t,1,0,0,0,0,1,True
40,64h–65t,1355,0,0,0,0,1,True
41,5h–6t,1,0,0,0,0,0,True
42,53h–54t,4198,0,0,0,0,1,True
43,43h–44t,1679,0,0,0,0,1,True
44,37h–38t,1,0,0,0,0,1,True
45,35h–36t,4672,0,0,0,0,0,True
46,34h–35t,1,0,0,0,0,0,True
47,32h–33t,6058,0,0,0,0,1,True
48,30h–32t,19165,0,0,0,0,0,True
49,28h–30t,9841,0,0,0,0,1,True
50,27h–28t,3962,0,0,0,0,1,True
51,26h–27t,1,0,0,0,0,1,True
52,241h–242t,29,0,0,0,0,1,True
53,230h–231t,4733,0,0,0,0,0,True
54,229h–230t,77,0,0,0,0,0,True
55,221h–222t,1194,0,0,0,0,1,True
56,215h–216t,6705,0,0,0,0,1,True
57,212h–215t,6007,0,0,0,0,0,True
58,200h–202t,1453,0,0,0,0,1,True
59,199h–200t,6214,0,0,0,0,1,True
60,198h–199t,1748,0,0,0,0,1,True
61,197h–198t,4319,0,0,0,0,1,True
62,190h–191t,1,0,0,0,0,1,True
63,187h–189t,5246,0,0,0,0,1,True
64,178h–179t,663,0,0,0,0,1,True
65,177h–178t,1252,0,0,0,0,1,True
66,173h–174t,9,0,0,0,0,1,True
67,172h–173t,10017,0,0,0,0,1,True
68,171h–172t,977,0,0,0,0,1,True
69,170h–171t,12,0,0,0,0,1,True
70,163h–166t,23401,0,0,0,0,1,True
71,159h–160t,1,0,0,0,0,1,True
72,154h–155t,2504,0,0,0,0,1,True
73,153h–154t,1,0,0,0,0,1,True
74,152h–153t,7,0,0,0,0,1,True
75,149h–150t,12519,0,0,0,0,1,True
76,138h–139t,1,0,0,0,0,1,True
77,137h–138t,2,0,0,0,0,1,True
78,133h–134t,1,0,0,0,0,1,True
79,123h–124t,1,0,0,0,0,0,True
80,119h–120t,1069,0,0,0,0,0,True
81,117h–118t,2,0,0,0,0,0,True
82,114h–115t,1300,0,0,0,0,0,True
83,112h–113t,6785,0,0,0,0,0,True
84,111h–112t,7221,0,0,0,0,0,True
85,109h–110t,423,0,0,0,0,0,True
86,103h–104t,10,0,0,0,0,1,True
87,101t–99h,14470,0,0,0,0,0,True
88,101h–102t,5254,0,0,0,0,1,True
