Seq_id	Size	Description
1	4529703	YEPE.0221.00019
2	4517345	YEPE.0221.00017
3	4569625	YEPE.0221.00018
4	4526841	YEPE.0221.00027
5	4467447	YEPE.0221.00029
6	4607325	YEPE.0221.00021
7	4503487	YEPE.0221.00025
8	4612708	YEPE.0221.00006
9	4501826	YEPE.0221.00005
10	4654228	YEPE.0221.00026
11	4644349	YEPE.0221.00004
12	4612618	YEPE.0221.00013
13	4504254	YEPE.0221.00016
14	4639390	YEPE.0221.00054
15	4604910	YEPE.0221.00007
16	4659507	YEPE.0221.00046
17	4610990	YEPE.0221.00002
18	4640720	YEPE.0221.00035
19	4636566	YEPE.0221.00008
20	4556329	YEPE.0221.00024
21	4625829	YEPE.0221.00036
22	4534590	YEPE.0221.00030
23	4491639	YEPE.0221.00051
24	4531804	YEPE.0221.00033
25	4499502	YEPE.0221.00003
26	4530125	YEPE.0221.00032
27	4629837	YEPE.0221.00041
28	4463069	YEPE.0221.00014
29	4617857	YEPE.0221.00009
30	4523033	YEPE.0221.00044
31	4635506	YEPE.0221.00053
32	4532063	YEPE.0221.00047
33	4607660	YEPE.0221.00034
34	4662886	YEPE.0221.00037
35	4595065	YEPE.0221.00057
36	4708493	YEPE.0221.00040
37	4501786	YEPE.0221.00039
38	4708024	YEPE.0221.00049
39	4553770	YEPE.0221.00022
40	4685402	YEPE.0221.00038
41	4523206	YEPE.0221.00028
42	4605437	YEPE.0221.00042
43	4528383	YEPE.0221.00031
44	4602429	YEPE.0221.00043
45	4553586	YEPE.0221.00050
46	4546217	YEPE.0221.00055
47	4524943	YEPE.0221.00023
48	4636496	YEPE.0221.00056
49	4596548	YEPE.0221.00052
50	4672675	YEPE.0221.00058
51	4616538	YEPE.0221.00001
52	4653728	YEPE.0221.00045
53	4702289	YEPE.0221.00048
54	4553687	YEPE.0221.00010
55	4555347	YEPE.0221.00011
56	4481558	YEPE.0221.00012
57	4519828	YEPE.0221.00020
58	4600755	YEPE.0221.00015
--------------------------------------------------------------------------------
Block #276
Seq_id	Strand	Start	End	Length
6	+	1721932	1736704	14772
8	-	1785271	1770499	14772
11	+	3048025	3062797	14772
14	-	983337	968565	14772
18	-	1327927	1313155	14772
19	+	3183594	3198366	14772
21	+	3313273	3328045	14772
22	+	3169234	3184006	14772
24	-	4306622	4291850	14772
27	+	3477732	3492520	14788
28	-	2364861	2350089	14772
30	+	970050	984822	14772
31	-	1346527	1331755	14772
32	-	1236005	1221233	14772
33	+	2807954	2822726	14772
35	+	1048122	1062894	14772
36	-	1734432	1719660	14772
38	-	4344802	4330030	14772
45	-	1385850	1371078	14772
46	+	2965285	2980057	14772
48	-	2373709	2358937	14772
49	+	3169674	3184446	14772
51	-	1234303	1219531	14772
53	-	1249597	1234825	14772
55	+	3128177	3142949	14772
--------------------------------------------------------------------------------
Block #275
Seq_id	Strand	Start	End	Length
3	+	3546277	3559883	13606
6	-	2633690	2620084	13606
7	+	994137	1007712	13575
8	-	3877864	3864258	13606
10	-	3520083	3506477	13606
11	-	3562971	3549365	13606
12	+	935917	949512	13595
14	+	458945	472551	13606
15	-	781278	767700	13578
16	-	2828222	2814616	13606
17	+	3181108	3194685	13577
18	-	894075	880469	13606
19	+	3599302	3612909	13607
20	-	1719046	1705440	13606
22	-	3693724	3680118	13606
23	-	2178807	2165229	13578
24	-	3615660	3602055	13605
25	-	777502	763924	13578
27	+	4169415	4183016	13601
28	-	3919223	3905617	13606
29	-	3602574	3588996	13578
30	+	1661011	1674617	13606
31	-	930842	917241	13601
32	-	545036	531430	13606
33	-	3721009	3707403	13606
34	-	4561521	4547915	13606
35	+	3824300	3837906	13606
36	+	4187668	4201274	13606
38	+	2089610	2103216	13606
39	-	4550137	4536531	13606
40	-	996116	982526	13590
42	-	2316599	2303021	13578
44	+	842652	856258	13606
45	+	862821	876427	13606
46	+	3503357	3516958	13601
48	-	1682192	1668598	13594
49	+	3608485	3622083	13598
50	-	4006436	3992814	13622
51	-	542563	528958	13605
52	+	1108906	1122512	13606
53	+	3701030	3714636	13606
54	-	3411785	3398179	13606
55	+	3566998	3580604	13606
