assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name_x,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,strain,orig_name,to_annotate,gsize,nb_conts,L90,file,asm_name_y,name_no_strain,label
GCF_000438585.1,PRJNA224116,SAMN02203126,,,na,,1639,1639,Listeria monocytogenes,strain=R2-502,BL9401,latest,Complete Genome,Major,Full,2013/07/16,ASM43858v1,University of California at Davis,GCA_000438585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/585/GCF_000438585.1_ASM43858v1,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000438585.1/GCF_000438585.1_ASM43858v1_genomic.fna.gz,LIMO.0521.00211,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438585.1_ASM43858v1_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438585.1_ASM43858v1_genomic.fna_prepare-split125N.fna,3091600,2,1,GCF_000438585.1_ASM43858v1_genomic.fna_prepare-split125N.fna,ASM43858v1,R2-502,Listeria monocytogenes R2-502
GCF_000438605.1,PRJNA224116,SAMN02203127,,,na,,1639,1639,Listeria monocytogenes,strain=C1-387,BL0044,latest,Complete Genome,Major,Full,2013/07/16,ASM43860v1,University of California at Davis,GCA_000438605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/605/GCF_000438605.1_ASM43860v1,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000438605.1/GCF_000438605.1_ASM43860v1_genomic.fna.gz,LIMO.0521.00003,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438605.1_ASM43860v1_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438605.1_ASM43860v1_genomic.fna_prepare-split125N.fna,2988947,1,1,GCF_000438605.1_ASM43860v1_genomic.fna_prepare-split125N.fna,ASM43860v1,C1-387,Listeria monocytogenes C1-387
GCF_000438625.1,PRJNA224116,SAMN02203122,,,na,,1639,1639,Listeria monocytogenes,strain=J2-064,BL0117,latest,Complete Genome,Major,Full,2013/07/16,ASM43862v1,University of California at Davis,GCA_000438625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/625/GCF_000438625.1_ASM43862v1,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000438625.1/GCF_000438625.1_ASM43862v1_genomic.fna.gz,LIMO.0521.00005,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438625.1_ASM43862v1_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438625.1_ASM43862v1_genomic.fna_prepare-split125N.fna,2943218,1,1,GCF_000438625.1_ASM43862v1_genomic.fna_prepare-split125N.fna,ASM43862v1,J2-064,Listeria monocytogenes J2-064
GCF_000438645.1,PRJNA224116,SAMN02203124,,,na,,1639,1639,Listeria monocytogenes,strain=J2-031,BL0125,latest,Complete Genome,Major,Full,2013/07/16,ASM43864v1,University of California at Davis,GCA_000438645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/645/GCF_000438645.1_ASM43864v1,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000438645.1/GCF_000438645.1_ASM43864v1_genomic.fna.gz,LIMO.0521.00007,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438645.1_ASM43864v1_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438645.1_ASM43864v1_genomic.fna_prepare-split125N.fna,2958908,1,1,GCF_000438645.1_ASM43864v1_genomic.fna_prepare-split125N.fna,ASM43864v1,J2-031,Listeria monocytogenes J2-031
GCF_000438665.1,PRJNA224116,SAMN02203123,,,na,,1639,1639,Listeria monocytogenes,strain=J1-108,,latest,Complete Genome,Major,Full,2013/07/16,ASM43866v1,University of California at Davis,GCA_000438665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/665/GCF_000438665.1_ASM43866v1,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000438665.1/GCF_000438665.1_ASM43866v1_genomic.fna.gz,LIMO.0521.00004,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438665.1_ASM43866v1_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438665.1_ASM43866v1_genomic.fna_prepare-split125N.fna,2981886,1,1,GCF_000438665.1_ASM43866v1_genomic.fna_prepare-split125N.fna,ASM43866v1,J1-108,Listeria monocytogenes J1-108
GCF_000438685.2,PRJNA224116,SAMN02203128,,,na,,1639,1639,Listeria monocytogenes,strain=N1-011A,BL0003,latest,Complete Genome,Major,Full,2013/08/08,ASM43868v2,University of California at Davis,GCA_000438685.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/685/GCF_000438685.2_ASM43868v2,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000438685.2/GCF_000438685.2_ASM43868v2_genomic.fna.gz,LIMO.0521.00219,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438685.2_ASM43868v2_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438685.2_ASM43868v2_genomic.fna_prepare-split125N.fna,3243301,2,1,GCF_000438685.2_ASM43868v2_genomic.fna_prepare-split125N.fna,ASM43868v2,N1-011A,Listeria monocytogenes N1-011A
GCF_000438705.2,PRJNA224116,SAMN02203125,,,na,,1639,1639,Listeria monocytogenes,strain=J1776,,latest,Complete Genome,Major,Full,2013/08/08,ASM43870v2,University of California at Davis,GCA_000438705.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/705/GCF_000438705.2_ASM43870v2,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000438705.2/GCF_000438705.2_ASM43870v2_genomic.fna.gz,LIMO.0521.00215,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438705.2_ASM43870v2_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438705.2_ASM43870v2_genomic.fna_prepare-split125N.fna,3009523,2,1,GCF_000438705.2_ASM43870v2_genomic.fna_prepare-split125N.fna,ASM43870v2,J1776,Listeria monocytogenes J1776
GCF_000438725.2,PRJNA224116,SAMN02203129,,,na,,1639,1639,Listeria monocytogenes,strain=J1817,,latest,Complete Genome,Major,Full,2013/08/08,ASM43872v2,University of California at Davis,GCA_000438725.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/725/GCF_000438725.2_ASM43872v2,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000438725.2/GCF_000438725.2_ASM43872v2_genomic.fna.gz,LIMO.0521.00214,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438725.2_ASM43872v2_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438725.2_ASM43872v2_genomic.fna_prepare-split125N.fna,3009520,2,1,GCF_000438725.2_ASM43872v2_genomic.fna_prepare-split125N.fna,ASM43872v2,J1817,Listeria monocytogenes J1817
GCF_000438745.2,PRJNA224116,SAMN02203130,,,na,,1639,1639,Listeria monocytogenes,strain=J1926,,latest,Complete Genome,Major,Full,2013/08/08,ASM43874v2,University of California at Davis,GCA_000438745.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/745/GCF_000438745.2_ASM43874v2,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000438745.2/GCF_000438745.2_ASM43874v2_genomic.fna.gz,LIMO.0521.00216,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438745.2_ASM43874v2_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000438745.2_ASM43874v2_genomic.fna_prepare-split125N.fna,3009511,2,1,GCF_000438745.2_ASM43874v2_genomic.fna_prepare-split125N.fna,ASM43874v2,J1926,Listeria monocytogenes J1926
GCF_000600015.1,PRJNA224116,SAMN02689320,,,na,,1639,1639,Listeria monocytogenes,strain=NE,dc0214,latest,Complete Genome,Major,Full,2014/03/25,ASM60001v1,Department of Forensic Sciences,GCA_000600015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/015/GCF_000600015.1_ASM60001v1,./Listeria_monocytogenes/1-prepare_module/refseq/bacteria/GCF_000600015.1/GCF_000600015.1_ASM60001v1_genomic.fna.gz,LIMO.0521.00012,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000600015.1_ASM60001v1_genomic.fna_prepare-split125N.fna,Listeria_monocytogenes/1-prepare_module/tmp_files/GCF_000600015.1_ASM60001v1_genomic.fna_prepare-split125N.fna,2904662,1,1,GCF_000600015.1_ASM60001v1_genomic.fna_prepare-split125N.fna,ASM60001v1,NE,Listeria monocytogenes NE
