Seq_id	Size	Description
1	3412234	LEPN.0521.00005
2	3546234	LEPN.0521.00004
3	3515377	LEPN.0521.00011
4	3581477	LEPN.0521.00003
5	3471959	LEPN.0521.00014
6	3503573	LEPN.0521.00022
7	3487066	LEPN.0521.00017
8	3376636	LEPN.0521.00008
9	3498323	LEPN.0521.00018
10	3458914	LEPN.0521.00010
11	3661362	LEPN.0521.00001
12	3363033	LEPN.0521.00019
13	3458918	LEPN.0521.00007
14	3389966	LEPN.0521.00006
15	3460779	LEPN.0521.00002
16	3458918	LEPN.0521.00009
17	3611000	LEPN.0521.00016
18	3555279	LEPN.0521.00015
19	3461540	LEPN.0521.00021
20	3500943	LEPN.0521.00012
21	3548205	LEPN.0521.00020
22	3474810	LEPN.0521.00013
--------------------------------------------------------------------------------
Block #167
Seq_id	Strand	Start	End	Length
10	+	2963750	2969111	5361
13	+	2963753	2969114	5361
16	+	2963753	2969114	5361
--------------------------------------------------------------------------------
Block #78
Seq_id	Strand	Start	End	Length
1	+	2008651	2032744	24093
2	+	1934889	1958993	24104
3	+	1915692	1939795	24103
4	+	1970111	1994215	24104
5	+	1915969	1940070	24101
6	+	1970147	1994369	24222
7	+	1937074	1961177	24103
8	+	1970160	1994320	24160
9	+	1971347	1995570	24223
10	+	1996276	2020436	24160
11	+	2061644	2085748	24104
12	+	1924597	1948700	24103
13	+	1996279	2020439	24160
14	+	1973954	1998114	24160
15	+	1910386	1934487	24101
16	+	1996279	2020439	24160
17	-	1434637	1410533	24104
18	+	1944989	1969092	24103
19	+	1914021	1938124	24103
20	+	1939608	1963709	24101
21	-	1243508	1219406	24102
22	+	1926792	1950895	24103
--------------------------------------------------------------------------------
Block #77
Seq_id	Strand	Start	End	Length
1	+	1974361	2008650	34289
2	+	1900528	1934888	34360
3	+	1881402	1915691	34289
4	+	1935750	1970110	34360
5	+	1881679	1915968	34289
6	+	1934499	1968920	34421
7	+	1902784	1937073	34289
8	+	1935619	1970159	34540
9	+	1935701	1970120	34419
10	+	1961735	1996275	34540
11	+	2027301	2061643	34342
12	+	1890243	1924596	34353
13	+	1961738	1996278	34540
14	+	1939413	1973953	34540
15	+	1876099	1910385	34286
16	+	1961738	1996278	34540
17	-	1468930	1434639	34291
18	+	1910699	1944988	34289
19	+	1879731	1914020	34289
20	+	1905318	1939607	34289
21	-	1277799	1243510	34289
22	+	1892502	1926791	34289
--------------------------------------------------------------------------------
Block #76
Seq_id	Strand	Start	End	Length
1	+	1954068	1974283	20215
2	+	1880229	1900450	20221
3	+	1861108	1881324	20216
4	+	1915451	1935672	20221
5	+	1861385	1881601	20216
6	+	1914201	1934421	20220
7	+	1882490	1902706	20216
8	+	1910300	1930531	20231
9	+	1915403	1935623	20220
