id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,124h–21h,8261,0.20947219400000003,2,10,0.4876098896,11,False
2,125t–22t,16410,0.192451514,2,10,0.45924208960000007,11,False
3,8h–9t,51,0,0,0,0,0,True
4,82h–83t,14407,0,0,0,0,0,True
5,79h–81t,13999,0,0,0,0,1,True
6,75h–78t,6622,0,0,0,0,0,True
7,69h–71t,4389,0,0,0,0,0,True
8,68h–69t,2275,0,0,0,0,0,True
9,67h–68t,550,0,0,0,0,0,True
10,63h–65t,40415,0,0,0,0,1,True
11,5h–7t,16002,0,0,0,0,1,True
12,58h–62t,38682,0,0,0,0,0,True
13,51h–52t,25736,0,0,0,0,0,True
14,42h–46t,614,0,0,0,0,0,True
15,40h–42t,37602,0,0,0,0,0,True
16,37h–38t,12909,0,0,0,0,0,True
17,27h–28t,5275,0,0,0,0,0,True
18,1h–3t,15453,0,0,0,0,0,True
19,16h–17t,3084,0,0,0,0,0,True
20,153h–154t,1497,0,0,0,0,0,True
21,152h–153t,3122,0,0,0,0,0,True
22,151h–152t,413,0,0,0,0,0,True
23,14h–15t,63,0,0,0,0,0,True
24,148h–149t,896,0,0,0,0,0,True
25,146h–147t,6048,0,0,0,0,0,True
26,144h–145t,513,0,0,0,0,0,True
27,141h–142t,29,0,0,0,0,0,True
28,139h–140t,2,0,0,0,0,0,True
29,135h–136t,1093,0,0,0,0,0,True
30,134h–135t,838,0,0,0,0,0,True
31,132h–133t,1981,0,0,0,0,0,True
32,131h–132t,3537,0,0,0,0,0,True
33,125h–126t,3767,0,0,0,0,0,True
34,117h–118t,1,0,0,0,0,0,True
35,113h–114t,91,0,0,0,0,0,True
36,111h–112t,1695,0,0,0,0,0,True
37,107h–108t,4757,0,0,0,0,0,True
38,106h–107t,1,0,0,0,0,0,True
39,105h–106t,6201,0,0,0,0,0,True
40,104h–105t,11466,0,0,0,0,0,True
41,101h–103t,23550,0,0,0,0,0,True
